"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 4,Keywords Found in Unnamed: 8,Keywords Found in Unnamed: 16,Keywords Found in Unnamed: 20,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
HA-L1096,Artisanal Fisheries Development Program,"The general objective of the project is to improve the income of small fishers in three southern regions of Haiti (South, South-East and Grande Anse), through the sustainable development of artisanal fisheries. The specific objectives are to: (i) strengthen the institutional management of the fisheries sector for resource sustainability, and improved sanitary and food safety conditions for marketing of seafood products; (ii) improve the quality of fish at landing sites, through improved public infrastructure; and (iii) increase artisanal fisheries productivity and reduce economic losses through the establishment of a rights-based fishery management scheme. In order to achieve these objectives, and consistent with the identified challenges, the project will finance three components: (i) institutional strengthening and information system; (ii) public infrastructure; and (iii) stakeholders¿ capacity building",Sovereign Guaranteed,Grant Financing Product,6/24/15,7/21/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Haiti,EXITED,B,16500000,3492/GR-HA,ESP,USD,GRF-IDB Grant Facility Account,15000000,14929878.14,"Wednesday, July 17, 2024",REPUBLIQUE D'HAITI,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],['productivity'],['grant'],[],['grant'],[],[],"['grant', 'productivity']"
RG-T2622,"Support to Agricultural Policy Analysis to improve Food Security, Competitivenes",The objective of the proposed Technical Cooperation is to generate policy recommendations for a more efficient allocation of fiscal resources and a reduced vulnerability to volatile food prices in Caribbean countries,Sovereign Guaranteed,Technical Cooperation,7/14/15,7/14/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Bahamas; Barbados; Guyana; Haiti; Headquarters; Jamaica; Regional; Suriname; Trinidad and Tobago,EXITED,C,300000,ATN/OC-15039-RG,,USD,ORC-Ordinary Capital,300000,296225.48,"Friday, October 20, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['policy'],['policy'],[],['policy'],[],[],[],['policy']
RG-M1276,Impact Enterprises: Supporting Local Agricultural Value Chains in Colombia and E,"This project will build on the Clinton Foundation/Clinton Giustra Enterprise Partnership (CGEP) experience with creating for-profit impact enterprises that address gaps in agricultural supply chains that have the potential of connecting vulnerable communities with markets. These impact enterprises reconfigure fragmented local supply chains by building local production capacity, integrating logistics, and becoming the trusted broker between producers and purchasers. This project will support the expansion of three existing CGEP impact enterprises in Colombia and El Salvador, with the end goal of improving market linkages and increasing the incomes of approximately 2,890 small producers, as well as fortifying the enterprise model for future scaling across different products and geographies.",Non-Sovereign Guaranteed,Technical Cooperation,7/16/15,10/14/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; El Salvador; Regional,EXITED,C,4136667,ATN/ME-15050-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,937844,772510.07,"Wednesday, December 05, 2018",Not Defined,No,THE CLINTON FOUNDATION,,,,[],[],[],[],[],[],[],[]
BL-M1012,Creating a Sustainable Sugarcane Industry in Northern Belize,The objective of this project is to improve the competitiveness and productivity of small-scale sugar cane farmers in Belize through the design and provision of automous extension services and diffusion of new productivity enhaning technologies.,Non-Sovereign Guaranteed,Technical Cooperation,7/22/15,10/20/15,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize,EXITED,C,5184705,ATN/ME-15051-BL,,USD,MSE-Multilateral Investment Fund II (MIF) -,1308941,1032033.96,"Wednesday, June 05, 2019",Not Defined,No,SUGAR INDUSTRY RESEARCH AND DEVELOPMENT INSTITUTE,,,,[],"['extension services', 'productivity']",[],[],[],[],[],"['extension services', 'productivity']"
RG-M1269,"Sustainable Agriculture, Food and the Environment Platform","SAFE is a multi-stakeholder platform that will address the technical challenges for diversification, market access, climate adaptation and resilience in agriculture, especially among small and medium sized farmers.",Non-Sovereign Guaranteed,Technical Cooperation,7/29/15,1/20/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Bolivia; Brazil; Colombia; Costa Rica; Peru; Regional,EXITED,B13,3864100,ATN/ME-15082-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,2641500,2616500,"Thursday, November 19, 2020",Not Defined,No,INSTITUTO HUMANISTA PARA LA COOPERACIÓN CON LOS PAÍSES EN DESARROLLO,,,,[],['market access'],[],[],[],[],[],['market access']
RG-X1256,Sustainable intensification in Dairy,"1. Identify the research teams from the participating countries that are working on the development of this subject, and are interested in participating in the regional initiative.
 2. Identify key critical factors for sustainable intensification in dairy in the participating countries.
 3. Characterize the current state of the art in the subject in countries and others participating groups.
 4. Identification of potential partners and sources for funding FONTAGRO.
 5. Prepare the project draft on sustainable intensification of the dairy, with a potential plan of potential funders and a program schedule.",Sovereign Guaranteed,Technical Cooperation,7/31/15,7/31/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Bankwide; Regional,EXITED,,68555,FTG/RF-15069-RG,,USD,RFA-Regional Agricultural Fund,30000,30000,"Thursday, July 14, 2016",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,"['dairy', 'sustainable intensification']","['dairy', 'sustainable intensification']",[],[],[],[],[],"['dairy', 'sustainable intensification']"
RG-X1257,Creating foundations for a Regional Early Warning System Coffee Rust-TBARS,"The specific goals are summarized in the following components: 
 Component 1: Systematize the knowledge on coffee rust management in the countries of the region. 
 Component 2. Training of technical capabilities to manage the information on rust in each country. 
 Component 3. Development of a SRAT model for rust. 
 Component 4. Coordination of the components",Sovereign Guaranteed,Technical Cooperation,7/31/15,1/29/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Guatemala; Headquarters; Regional,EXITED,,515340,FTG/RF-15072-RG,,USD,RFA-Regional Agricultural Fund,150000,148500,"Wednesday, September 11, 2019",Not Defined,Yes,IICA INTER-AMERICAN INSTITUTE FOR C OOPERATION ON AGRICULTURE,,,,[],[],[],[],[],[],[],[]
RG-M1285,Blue Harvest: A New Sustainable Production Model for Small Holder Coffee Farmers,"The project seeks to promote water resource management with a focus on water-smart agricultural approaches as a high impact model of sustainable production in priority coffee producing zones in El Salvador, Honduras and Nicaragua.",Non-Sovereign Guaranteed,Technical Cooperation,8/5/15,2/2/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,El Salvador; Honduras; Nicaragua; Regional,EXITED,C,5558990,ATN/ME-15090-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,1240372,1147021,"Monday, November 04, 2019",Not Defined,Yes,CATHOLIC RELIEF SERVICES-UNITED STATES CATHOLIC CONFERENCE,,,,['smallholder'],[],[],[],[],[],[],['smallholder']
BO-T1241,Support for the Preparation of Land Administration Program,The objective is support the Government of Bolivia and the Project team in the preparation of the loan operation for the Land Sanitation Program.,Sovereign Guaranteed,Technical Cooperation,8/13/15,8/13/15,AGRICULTURE AND RURAL DEVELOPMENT,LAND ADMINISTRATION AND MANAGEMENT,Bolivia,EXITED,C,150000,ATN/OC-15103-BO,,USD,ORC-Ordinary Capital,150000,141369.93,"Tuesday, March 21, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
BO-T1242,Support for the Preparation of Land Administration Program,The objective is support the Government of Bolivia and the Project team in the preparation of the loan operation for the Land Sanitation Program.,Sovereign Guaranteed,Technical Cooperation,8/13/15,8/13/15,AGRICULTURE AND RURAL DEVELOPMENT,LAND ADMINISTRATION AND MANAGEMENT,Bolivia,EXITED,C,150000,ATN/OC-15104-BO,,USD,ORC-Ordinary Capital,150000,138805.2,"Wednesday, September 06, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
BL-T1073,Strategic Planning to Strengthen Agricultural Trade and Food Safety,The main objective of this operation is to assist Belize to improve its strategic planning capacity to foster overall trade balance through improved agricultural policy instruments.,Sovereign Guaranteed,Technical Cooperation,8/18/15,12/22/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Belize,EXITED,C,420000,ATN/OC-15106-BL,,USD,ORC-Ordinary Capital,350000,311676.79,"Tuesday, January 15, 2019",Not Defined,Yes,"MINISTRY OF AGRICULTURE, FOOD SECURITY AND ENTERPRISE",,,,[],['policy'],[],['policy'],[],[],[],['policy']
RG-X1263,Partnership FONTAGRO - PROADAPT: Building Resilience in the Gran Chaco Americano,"1- Design a proposal of participation in PROADAPT for the national research institutes from Argentina, Bolivia and Paraguay. 
 2 - Integration of the proposal submitted by the national research institutes of Argentina, Bolivia and Paraguay to the executing plan led by AVINA Foundation, and integration into the governance structure of the platform.",Sovereign Guaranteed,Technical Cooperation,8/25/15,8/25/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Bankwide; Bolivia; Paraguay; Regional,EXITED,,31000,FTG/RF-15126-RG,,USD,RFA-Regional Agricultural Fund,20000,20000,"Tuesday, August 30, 2016",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
BO-T1248,Support for the Preparation and Start of the Irrigation Program III,The objective of the technical cooperation of operational support is to strengthen the technical capacity of the Ministry of Environment and Water for the preparation and irrigation program starting with Watershed Approach III.,Sovereign Guaranteed,Technical Cooperation,8/27/15,8/27/15,AGRICULTURE AND RURAL DEVELOPMENT,IRRIGATION AND DRAINAGE,Bolivia,EXITED,C,150000,ATN/OC-15128-BO,,USD,ORC-Ordinary Capital,150000,130327.58,"Wednesday, June 27, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
HO-L1151,Consolidate diversified productions of small producers in northwestern Honduras.,The objective is to support the increase of income of small producers in northwestern Honduras through diversification.,Non-Sovereign Guaranteed,Loan Operation,9/1/15,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Honduras,EXITED,,1260000,SP/OC-15-03-HO,,USD,ORC-Ordinary Capital,1000000,0,"Tuesday, September 01, 2015",COOPERATIVA AGRÍCOLA CAFETALERA SAN ANTONIO LIMITADA,Yes,COOPERATIVA AGRÍCOLA CAFETALERA SAN ANTONIO LIMITADA,,,,[],[],[],[],[],[],[],[]
HO-S1025,Consolidate diversified productions of small producers in northwestern Honduras.,The objective is to support the increase of income of small producers in northwestern Honduras through diversification.,Non-Sovereign Guaranteed,Technical Cooperation,9/1/15,3/31/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Honduras,EXITED,C,360000,ATN/OC-15129-HO,,USD,ORC-Ordinary Capital,250000,0,"Tuesday, September 01, 2015",Not Defined,Yes,COOPERATIVA AGRÍCOLA CAFETALERA SAN ANTONIO LIMITADA,,,,[],[],[],[],[],[],[],[]
BO-L1096,Direct Support for the Creation of Rural Agrifood Initiatives II,"The overall objective of the Project is to improve the income of small producers of rural family farming, thus helping to improve food security. To this end, the specific objectives of the project are: i) support small rural producers, through direct support to adopt agro-technologies that improve production and productivity, and ii) support organizations of small producers to develop and implement rural productive agri-food enterprises oriented to markets.",Sovereign Guaranteed,Loan Operation,9/16/15,11/18/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Bolivia,ACTIVE,C,62000000,3536/BL-BO,ESP,USD,ORC-Ordinary Capital,62000000,60069208.68,"Tuesday, July 15, 2025",ESTADO PLURINACIONAL DE BOLIVIA,Yes,MINISTERIO DE DESARROLLO RURAL Y TIERRAS,0.250000000000000; 1.310000000000000; 3.012000000000000; 3.020000000000000; 4.048273000000000; 5.579579000000000,2055-11-18; 2045-07-15; 2045-07-15; 2045-07-15; 2045-07-15; 2045-07-15,487; 361.10000000000002; 361.10000000000002; 361.10000000000002; 361.10000000000002; 361.10000000000002,[],"['farming', 'productivity']",[],[],[],[],[],"['farming', 'productivity']"
RG-X1253,Policies for local content in mining sectors,"The main purpose of this Technical Cooperation is to receive the co-financement of the mining company, BHP Billiton, in order to support the study ¿Knowledge and learning spillovers in mining value chains¿ of the ongoing 2015 Economic Sector Work (RG-K1396) and as agreed through the ESW proposal in 2014.",Sovereign Guaranteed,Technical Cooperation,9/17/15,9/17/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Brazil; Chile; Headquarters; Peru; Regional,EXITED,,20000,ATN/CF-15152-RG,,USD,COF-Common Account - COFAB,20000,19393.21,"Thursday, October 31, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
RG-X1266,Strengthening the cooperation FORAGRO-FONTAGRO,Contribute to the reorganization of FORAGRO while identifying the basic elements for cooperation with FONTAGRO.,Sovereign Guaranteed,Technical Cooperation,9/28/15,9/28/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Brazil; Headquarters; Regional,EXITED,,90000,FTG/RF-15168-RG,,USD,RFA-Regional Agricultural Fund,22000,22000,"Monday, November 02, 2015",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],['policy'],[],[],[],['policy']
BR-L1418,Sucden: Corporate Finance Loan,The project main objective is to increase sugarcane productivity promoting sustainable agricultural practices.,Non-Sovereign Guaranteed,Loan Operation,10/21/15,9/12/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,,50000000,3568A/OC-BR,PSL,USD,ORC-Ordinary Capital,50000000,51525528.14,"Monday, May 15, 2023",SUCRES ET DENREES S.A,No,SUCRES ET DENREES S.A,2.219500000000000; 2.239140000000000; 2.239140000000000; 2.554140000000000; 3.958860000000000,2023-05-15; 2023-05-15; 1900-01-01; 1900-01-01; 1900-01-01,81.200000000000003; 81.200000000000003; -1420.8; -1420.8; -1420.8,[],['productivity'],[],[],[],[],[],['productivity']
RG-M1287,Improving Small-scale Beekeepers¿ Access to Global Market and Financing,The project aims to increase the incomes of small honey producers in El Salvador and Nicaragua by strengthening the beekeeping value chain in order to improve small beekeepers' access to export markets.,Non-Sovereign Guaranteed,Technical Cooperation,10/29/15,1/28/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,El Salvador; Nicaragua; Regional,EXITED,C,1969052,ATN/ME-15243-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,1000000,952000.01,"Friday, March 01, 2019",Not Defined,No,FUNDACIÓN SUIZA DE COOPERACIÓN PARA EL DESARROLLO TÉCNICO,,,,[],['value chain'],[],[],[],[],[],['value chain']
RG-X1269,Course for project profiles proposals,"The goal is to strengthen the capacity of the community and academia of FONTAGRO's member countries through the production and offer of an online virtual course with tutor, to strengthen the capabilities in preparing project proposals under the FONTAGRO's calls.",Sovereign Guaranteed,Technical Cooperation,12/3/15,12/3/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Bankwide; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,,25000,FTG/RF-15384-RG,,USD,RFA-Regional Agricultural Fund,25000,24998.28,"Monday, December 19, 2016",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
CH-L1120,Improving the Supply of Credit for Small Farmers in Cooperativa Campesina Inter-,"The project will contribute to restart the production credit program of COOPEUMO and technical assistance in the field, by placing medium term resources for strengthening its credit area and other activities that will contribute to improve
 their productivity",Non-Sovereign Guaranteed,Loan Operation,12/10/15,5/20/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Chile,EXITED,,920000,SP/ES-15-09-CH,,USD,FEP-Spanish Fund for the Entrepreneurship Pr,600000,600000,"Monday, March 07, 2022",Cooperativa Campesina Inter-comunal Peumo Ltda,Yes,Cooperativa Campesina Inter-comunal Peumo Ltda,5.25122,2022-03-07,70.6,[],['productivity'],[],[],[],[],[],['productivity']
CH-S1004,Improving the Supply of Credit for Small Farmers in Cooperativa Campesina Inter-,"The project will contribute to restart the production credit program of COOPEUMO and technical assistance in the field, by placing medium term resources for strengthening its credit area and other activities that will contribute to improve their productivity",Non-Sovereign Guaranteed,Technical Cooperation,12/10/15,5/20/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Chile,EXITED,B13,418910,ATN/OC-15395-CH,,USD,ORC-Ordinary Capital,250000,201171.97,"Wednesday, October 21, 2020",Cooperativa Campesina Inter-comunal Peumo Ltda,Yes,Cooperativa Campesina Inter-comunal Peumo Ltda,,,,[],['productivity'],[],[],[],[],[],['productivity']
HA-L1113,"MOKAFE, A Cup of Hope Coffee Project",The project objective at the impact level is to increase high-value market opportunities in café pilé (natural coffee) for small-scale coffee producers in the five cooperatives participating in the project.,Non-Sovereign Guaranteed,Loan Operation,12/10/15,3/10/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,,1000000,SP/OC-15-11-HA,,USD,ORC-Ordinary Capital,700000,420000,"Friday, February 16, 2024",GEO WIENER S.A.,Yes,GEO WIENER S.A.,12,2023-03-06,85.1,[],[],[],[],[],[],[],[]
HA-S1013,"MOKAFE, A Cup of Hope Coffee Project",The project objective at the impact level is to increase high-value market opportunities in café pilé (natural coffee) for small-scale coffee producers in the five cooperatives participating in the project.,Non-Sovereign Guaranteed,Technical Cooperation,12/10/15,3/10/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,C,414150,ATN/OC-15396-HA,,USD,ORC-Ordinary Capital,220000,220000,"Monday, August 24, 2020",GEO WIENER S.A.,Yes,GEO WIENER S.A.,,,,[],[],[],[],[],[],[],[]
NI-T1214,Disigning an Irrigation Strategy in Nicaragua,"To develop a national irrigation plan, accompanied by a strategy of investment in the sector. Also, including institutional and legal aspects that restrict the smooth operation and applicability of the legislation.",Sovereign Guaranteed,Technical Cooperation,12/11/15,12/11/15,AGRICULTURE AND RURAL DEVELOPMENT,IRRIGATION AND DRAINAGE,Nicaragua,EXITED,C,300000,ATN/OC-15425-NI,,USD,ORC-Ordinary Capital,300000,268216.56,"Tuesday, October 30, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
NI-T1216,Fomento de la productividad en Nicaragua,The objective is to identify the main adjustments to make concerning productivity and to support the implementation strategy.,Sovereign Guaranteed,Technical Cooperation,12/11/15,12/11/15,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Nicaragua,EXITED,C,500000,ATN/OC-15427-NI,,USD,ORC-Ordinary Capital,500000,493477.63,"Monday, May 14, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['productivity'],[],['policy'],[],[],[],"['policy', 'productivity']"
