"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
NI-T1238,Climate Resilience and High-value Fruit Exports in Nicaragua,"The MIF will support the growth and consolidation of an eco-efficient agro-industrial processing model for tropical fruits that will be used for the production of specialized organic products. The project will link about 1,250 smallholder producers (800 new producers) to BASA's provider network. The model represents a sustainable income-generating market option that will improve the productivity and resilience of the participating smallholder producers",Non-Sovereign Guaranteed,Technical Cooperation,11/30/16,2/28/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Nicaragua,EXITED,,775727,ATN/ME-15914-NI,,USD,MSE-Multilateral Investment Fund II (MIF) -,255840,255840,"Wednesday, December 18, 2019",Not Defined,Yes,"BURKE-AGRO DE NICARAGUA,SA",,,,[],"['processing', 'smallholder']",[],"['processing', 'smallholder']"
RG-T2943,Sustainable Dairy Intensification,This project aims at increasing productivity in dairy production systems by creating a cooperative public-private platform in sustainable intensification of the dairy sector in Latin America and the Caribbean,Sovereign Guaranteed,Technical Cooperation,12/6/16,4/7/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Chile; Costa Rica; Dominican Republic; Ecuador; Honduras; Nicaragua; Panama; Paraguay; Regional; Uruguay; Venezuela,EXITED,,1650500,FTG/RF-15940-RG,,USD,RFA-Regional Agricultural Fund,400000,375531.95,"Tuesday, November 15, 2022",Not Defined,Yes,INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA,,,,['dairy'],['dairy'],[],['dairy']
ME-L1256,Animal Health Improvement,The general objective is to improve the country's health status in order to contribute to increasing livestock productivity and access to domestic and international markets. The specific objective is to strengthen the capacity and efficiency of animal health services by updating and improving disease diagnostic services.,Sovereign Guaranteed,Loan Operation,12/12/16,8/15/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Mexico,EXITED,B,145000000,3864/OC-ME,ESP,USD,ORC-Ordinary Capital,145000000,3440305.41,"Tuesday, April 15, 2025",ESTADOS UNIDOS MEXICANOS,Yes,NACIONAL FINANCIERA S.N.C. INSTITUCIÓN DE BANCA DE DESARROLLO - AGENTE FINANCIERO,0.370000000000000; 2.930000000000000,2028-10-15; 2028-10-15,136; 136,['animal health'],"['animal health', 'livestock']",[],"['animal health', 'livestock']"
RG-T2932,Support program for the training of Veterinary Services of Southern Cone Countries to address the last stage of the PHEFA.,"Supporting Southern Cone countries to enhance the capabilities of the technical team of the Veterinary Services to design, implement, evaluate and take corrective action plans for the control of animal diseases in general, tend to contribute to food security in the subregion and in particular to address the last stage of PHEFA, for the eradication of FMD.",Sovereign Guaranteed,Technical Cooperation,12/14/16,12/14/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Argentina; Bolivia; Brazil; Chile; Paraguay; Regional; Uruguay,EXITED,C,1469800,ATN/OC-16011-RG,,USD,ORC-Ordinary Capital,1252000,816127.55,"Friday, October 04, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,"['veterinary', 'veterinary services']","['veterinary', 'veterinary services']",[],"['veterinary', 'veterinary services']"
RG-T2946,Technological innovations in Andean Cacao,"The main objective of this TC is to promote technological innovations for cacao growers in the Andean region, focusing on cacao quality improvement at production, processing and added value stages, in order to achieve differentiation and new market access.",Sovereign Guaranteed,Technical Cooperation,4/12/17,7/11/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,C,2002800,ATN/RF-16109-RG,,USD,RFA-Regional Agricultural Fund,400000,331035.23,"Wednesday, March 23, 2022",Not Defined,No,UNIVERSIDAD DEL TOLIMA,,,,[],"['market access', 'processing']",[],"['market access', 'processing']"
DR-T1158,Development of a Mechanism for Preferential Market Access for Sustainably-Produced Agricultural Products,"Development of a preference mechanism to access markets of goods or products produced under sustainable practices, through the agricultural market of Dominican Republic.",Non-Sovereign Guaranteed,Technical Cooperation,4/27/17,6/6/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Dominican Republic,EXITED,C,995241,ATN/ME-16125-DR,,USD,MSE-Multilateral Investment Fund II (MIF) -,466775,350000,"Friday, May 14, 2021",Not Defined,Yes,JUNTA AGROEMPRESARIAL DOMINICANA INC.,,,,['market access'],[],[],['market access']
BR-T1369,Exchange visit Brazil-Mexico on food safety and animal and plant health,"The objective will be to support the visit of professionals of the Ministry of Agriculture, Livestock and Supply (MAPA) to Brazil and Mexico, in order to know about the experience of Mexico in modernizing laboratories dealing with animal safety and sanitary barriers to prevent the incidence of Mediterranean fruit fly.",Sovereign Guaranteed,Technical Cooperation,5/15/17,5/15/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Brazil,EXITED,C,18860,ATN/OC-16141-BR,,USD,ORC-Ordinary Capital,18860,15820.55,"Wednesday, June 14, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['livestock'],[],['livestock']
NI-T1237,Sustainable Livestock Management in Nicaragua,Develop sustainable livestock program,Non-Sovereign Guaranteed,Technical Cooperation,5/25/17,7/12/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Nicaragua,EXITED,C,1648726,ATN/ME-16165-NI,,USD,MSE-Multilateral Investment Fund II (MIF) -,829062,760619.88,"Friday, June 18, 2021",Not Defined,No,COMISIÓN NACIONAL GANADERA DE NICARAGUA,,,,['livestock'],['livestock'],[],['livestock']
BR-Q0021,The Ventura Green Impact Fund,"The project will seek to generate positive social and environmental impact by providing financing and technical assistance to established small farmers and agro-processing businesses adopting climate-smart practices, as well as small companies developing innovative clean technologies for agribusinesses.",Non-Sovereign Guaranteed,Equity,6/14/17,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Brazil,EXITED,B13,20000000,EQU/MS-16187-BR,,USD,MSF-MIF-Small Enterprise Investment Fund,3500000,0,"Wednesday, June 14, 2017",VENTURA GREEN IMPACT FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,No,VENTURA GREEN IMPACT FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,,,,[],['processing'],[],['processing']
BR-T1373,The Ventura Green Impact Fund,"The project will seek to generate positive social and environmental impact by providing financing and technical assistance to established small farmers and agro-processing businesses adopting climate-smart practices, as well as small companies developing innovative clean technologies for agribusinesses.",Non-Sovereign Guaranteed,Technical Cooperation,6/14/17,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Brazil,EXITED,,493225,ATN/ME-16186-BR,,USD,MSE-Multilateral Investment Fund II (MIF) -,243225,0,"Wednesday, June 14, 2017",Not Defined,No,INSTITU VENTURA,,,,[],['processing'],[],['processing']
SU-L1020,Agricultural Competitiveness Program,"The program objective is to increase the competitiveness of the agricultural sector through the improvement of animal health, plant health and food safety and agricultural research and technology transfer services.",Sovereign Guaranteed,Loan Operation,6/19/17,6/23/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Suriname,ACTIVE,B,17500000,4097/OC-SU,ESP,USD,ORC-Ordinary Capital,17500000,10128132.86,"Sunday, June 15, 2025",REPUBLIC OF SURINAME,Yes,"MINISTRY OF AGRICULTURE HUSBANDRY, FISHERIES AND FORESTRY",2.120000000000000; 5.095000000000000; 5.095000000000000; 5.568243000000000,2042-06-15; 2027-06-15; 2042-06-15; 2042-06-15,304.10000000000002; 121.5; 304.10000000000002; 304.10000000000002,[],['animal health'],[],['animal health']
BR-Q0019,Development of a Macauba-Based Silvopastoral System and Value Chain,To increase small-holder farmer productivity and create a macauba value chain that mitigates climate change,Non-Sovereign Guaranteed,Equity,7/26/17,10/1/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,C,3643000,EQU/SX-16254-BR,,USD,SCX-Strategic Climate Fund,3000000,3000000,"Tuesday, June 15, 2021",INOCAS SOLUCOES EM MEIO AMBIENTE SA,Yes,INOCAS SOLUCOES EM MEIO AMBIENTE SA,,,,['silvopastoral'],['smallholder'],[],"['silvopastoral', 'smallholder']"
BR-T1333,Development of Macauba-based Silvopastoral System and Value Chain,To increase small-holder farmer productivity and create a macauba value chain that mitigates climate change,Non-Sovereign Guaranteed,Technical Cooperation,7/26/17,7/26/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,,2969000,ATN/ME-16252-BR,,USD,MSE-Multilateral Investment Fund II (MIF) -,326000,298776.98,"Monday, October 28, 2024",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['silvopastoral'],['smallholder'],[],"['silvopastoral', 'smallholder']"
BR-T1333,Development of Macauba-based Silvopastoral System and Value Chain,To increase small-holder farmer productivity and create a macauba value chain that mitigates climate change,Non-Sovereign Guaranteed,Technical Cooperation,7/26/17,4/19/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,,2969000,ATC/ME-16253-BR,,USD,MSE-Multilateral Investment Fund II (MIF) -,1000000,1000000,"Friday, December 09, 2022",Not Defined,Yes,INOCAS SOLUCOES EM MEIO AMBIENTE SA,,,,['silvopastoral'],['smallholder'],[],"['silvopastoral', 'smallholder']"
PR-T1203,Support for the Animal Health Services of Paraguay,"The purpose of this Technical Cooperation (TC) is to support the Government of Paraguay in the development of technical, operational and institutional studies for the design, preparation, approval and start of the Animal Health and Productive Diversification Program (PR-L1148).",Sovereign Guaranteed,Technical Cooperation,8/14/17,8/14/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Paraguay,EXITED,C,300000,ATN/AG-16283-PR,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,300000,297449.5,"Friday, August 16, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['animal health'],['animal health'],[],['animal health']
BR-T1370,Strengthening of Plant and Animal Health and Food Safety Services,"The objective of the TC is to strengthen the capacities of the animal and plant health and food safety services in Brazil in order to improve access to export markets and the quality of food consumed in the country. For this, technical, operational and institutional studies will be needed, which requires national and international consultancies that provide experience and technical knowledge. These studies will be the basis for a solid technical dialogue with government authorities and other relevant stakeholders about the weaknesses and challenges faced by the animal and plant health and food safety services, the risks and negative effects on the competitiveness of the Brazilian agricultural sector, and the priority investments and other interventions.",Sovereign Guaranteed,Technical Cooperation,10/11/17,1/22/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Brazil,EXITED,C,750000,ATN/AG-16391-BR,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,500000,437245.07,"Friday, November 13, 2020",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['animal health'],[],[],['animal health']
BL-T1094,Improving Livestock Sector Productivity and Climate Resilience in Belize,"The main objective of this project is to improve the productivity of the livestock sector in Belize through the promotion of pasture intensification, while at the same time addressing the low capacity for adaptation to climate change of especially small and medium-sized producers. Rapid growth in Belizean livestock, in response to growing demand in the tourism sector as well as in domestic and international markets, has resulted in the opening up of new pastureland in order to meet nutrient requirements of herds largely dependent on natural pastures with low feed supplementation and water conservation strategies in place. Any efforts for the sustainable intensification of livestock production in Belize, must consider the challenges that climate change poses, not only for productivity, but also with respect to ecosystems. This critically requires building the capacity of all producers to adapt in order to build climate change resiliency and to reduce environmental impacts such as deforestation, soil degradation and unsustainable water consumption.",Non-Sovereign Guaranteed,Technical Cooperation,10/13/17,10/31/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize,EXITED,B,875700,ATN/ME-16402-BL,,USD,MSE-Multilateral Investment Fund II (MIF) -,550500,489505.11,"Tuesday, September 13, 2022",Not Defined,No,Belize Livestock Producers Association,,,,['livestock'],"['feed', 'livestock', 'pasture']",['livestock'],"['feed', 'livestock', 'pasture']"
HA-G1038,Agricultural and Agroforestry Technological Innovation Program - PITAG,The general objectives of the Program are to increase agricultural income and food security for smallholder farmers in selected areas of Haiti. The specific objectives are to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable technologies.,Sovereign Guaranteed,Investment Grants,11/1/17,1/11/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Haiti,EXITED,B,10000000,GRT/GA-16490-HA,,USD,GAF-Global Agricultural Food Security,10000000,9999386.59,"Tuesday, November 14, 2023",Not Defined,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],['smallholder'],[],['smallholder']
