Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Abstract
P181565,"Middle East, North Africa, Afghanistan, and Pakistan",Republic of Tunisia,,Second Additional Financing to Tunisia Emergency Food Security Response Project,"To (a) ensure, in the short-term, the supply of (i) agricultural inputs for farmers to secure the next cropping seasons and for continued dairy production, and (ii) wheat for uninterrupted access to bread and other grain products for poor and vulnerable households; and (b) strengthen Tunisia’s resilience to food crises by laying the ground for reforms of the grain value chain.",Office des Céréales,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P181565,"February 11, 2024","March 14, 2024",,"December 31, 2026",BANK APPROVED,I,,300000000.0,0.0,,0.0,Ministry of Economy,,,,,,,"April 4, 2024","The AF to the PRUSA parent project constitutes a new step for World Bank engagement on food security and agriculture in Tunisia. It will include: (a) short term emergency support for wheat imports in response to the unprecedented drought in a tight macro-fiscal context, and (b) activities to secure next harvests (such as barley supply for animal feed and support to seed production), as well as increase the resilience of grain producers confronted to climate change and water stress (miscellaneous activities to communicate with stakeholders, improve knowledge of the grain value chain, digitize key operations, etc.). The AF would require a short-term extension of the project Closing Date. As discussed with GoT, it would set the stage for possible World Bank complementary support to increase the resilience of Tunisian smallholder farmers in the face of climate and market stress, so that Bank’s response is not limited to short term support (next three harvests) but also fosters deeper structural changes that are needed to modernize the Tunisian food system; this is fully consistent with the conclusions of the Tunisia-CCDR and comes in alignment with the new Global Challenge Program on Food and Nutrition Security."
P179078,Western and Central Africa,Western and Central Africa,,Health Security Program in Western and Central Africa,"Increase regional collaboration and health system capacities to prevent, detect and respond to health emergencies in Western and Central Africa.","Cabo Verde Ministry of Finance,Guinea Ministry of Health,West African Health Organization (WAHO),Liberia Ministry of Health",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P179078,"July 6, 2023","December 19, 2023","May 31, 2024","January 31, 2032",BANK APPROVED,G,,0.0,158000000.0,,20000000.0,"Economic Community of West-African States (ECOWAS),Republic of Cabo Verde,Republic of Guinea,Republic of Liberia",,,Substantial,,,,"June 30, 2023","The Program Development Objective (PrDO) of the proposed Health Security Program is to increase regional collaboration and health system capacities to prevent, detect and respond to health emergencies in Western and Central Africa. Building from ongoing WB and partner efforts, the proposed Program aims to provide a platform to strengthen critical capacities for preparedness and response to health emergencies. The Program will invest in the key interconnected systems for health security programs, designed with a One Health focus, capitalizing on multi-sectoral collaboration, and convening and streamlining development partner investments. The proposed Program's five components are: (i) Prevention of health emergencies; (ii) Detection of health emergencies; (iii) Response to health emergencies; (iv) Program Management and Capacity Building; and (v) Contingent Emergency Response Component (CERC). Broadly, the proposed components are grounded in International Health Regulations and World Organisation of Animal Health core capacities that all countries are committed to strengthening. The expected results of bringing all participating countries and regional entities to a sufficient level of preparedness for health emergencies are reflected in the proposed PrDO indicators."
P174733,East Asia and Pacific,Mongolia,,Virtual Cooperatives of Pastoral Livestock Communities,To improve livelihoods of remote pastoral livestock communities in targeted locations by harnessing digital technologies and services.,Ministry of Food Agriculture and Light Industry,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P174733,"March 24, 2021","November 16, 2023","August 20, 2024","December 31, 2026",BANK APPROVED,G,,,,,2752294.0,Mongolia,,,Moderate,,,,"November 17, 2023","The central idea of the project is to strengthen the social mobilization of herder organizations by empowering herders with information and improving their access to livelihood services by creating a trusted digital platform (virtual cooperative). It will help pilot innovative mobilization techniques relying on digital platforms, use digital channels for streaming technology extension, and agri-service delivery, connect them with local governance systems, and build business linkages with the private sector for improved market access. It will also build the capacity of other linked service providers to offer their services via the platform and maximize its use for their purposes as well as on the platform’s institutional and operational framework. The project will take a participatory approach for developing and delivering a stack of digital services. The project will help develop a Virtual Training Academy jointly with herders, livestock researchers, and practitioners in the sector. It is envisaged to form partnerships with existing institutions that already provide locally relevant extension content, such as for example the Mongolian University of Life Sciences and other institutions collaborating in the Responsible Cashmere Round Table (RCRT). The project will finance virtual cooperatives based on institutional performance criteria for availing high-quality services from technical assistance providers, common facilities center, acquiring small scale equipment and production facilities used for improving animal welfare or livestock product processing, working capital for collective production and market activities, etc. The delivery approach is mostly through forging partnerships with existing public and private actors and may include organizing an innovation challenge to crowdsource disruptive ideas for piloting service provision in the domain of virtual cooperatives. Collaborating with existing digital financial services providers the project will pilot design and distribute sustainable livestock finance products on a virtual cooperative platform to improve their outreach to isolated herder communities. This model for digital livestock finance will have a high potential to be replicated by other players; It will also develop partnerships with public and private players for delivering services through the platform. Offering an integrated interface and a one-stop point for fragmented services will help facilitate the convergence of public and private services. Finally, the project will prepare virtual cooperatives for participation in high impact value chains by promoting principles of animal welfare, sustainable livestock practices, grass-fed organic livestock, fair trade, and responsible sourcing mechanisms."
P181087,South Asia,Nepal,,Food And Nutrition Security Enhancement Project II,"The PDO is to enhance climate resilience, and improve agricultural productivity and nutrition practices of targeted smallholder farming communities in selected areas of Nepal.","Ministry of Agriculture and Livestock Development,Ministry of Agriculture and Livestock Development",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P181087,"May 4, 2023","September 18, 2023","December 1, 2023","June 30, 2027",BANK APPROVED,G,,,,,20000000.0,"Nepal,Nepal",,,Moderate,,,,"May 19, 2023","The Project will consolidate the gains of the ongoing project FANSEP as well as scale-up demonstrated best practices to sixteen new rural municipalities in the ongoing project districts of Dolakha, Sindhupalchok, Gorkha and Dhading in the hills, and Saptari, Siraha, Dhanusha and Mahottari in the plains. Approximately 55,000 new beneficiaries will be directly supported through project interventions. Climate smart and nutrition sensitive food production practices, post-harvest support to minimize food waste and losses, and food-based interventions and awareness campaigns to improve nutrition of mothers and children<2 years of age will be prioritized."
P178635,South Asia,Kingdom of Bhutan,,Bhutan Second Green and Resilient Growth Development Policy Credit,"The operation aims to (i) strengthen resilient and private sector-led growth through fiscal sustainability and enhanced access to finance and markets, and (ii) foster green growth focused on renewable natural resources.",Ministry of Finance,,https://projects.worldbank.org/en/projects-operations/project-detail/P178635,"March 29, 2023","August 22, 2023","August 23, 2023","June 30, 2024",BANK APPROVED,I,,0.0,50000000.0,,0.0,The Kingdom of Bhutan,,,,,,,"November 10, 2023","The Bhutan Second Green and Resilient Growth Development Policy Credit aims to (i) strengthen resilient and private sector-led growth through fiscal sustainability and enhanced access to finance and markets, and (ii) foster green growth focused on renewable natural resources. This operation supports reforms for a more resilient economy with a green and diverse production base, to enhance resilience to future shocks and support future development. Reforms to strengthen public debt management and fiscal oversight of SOEs and related fiscal risks are crucial to address short-term macroeconomic vulnerabilities and risks to private investment. Increased access to international finance for firms can support private sector development and firm growth, and free up funds from lending to larger borrowers to smaller companies, thereby enhancing access to credit for smaller companies. Developing a vibrant private sector to generate jobs and diversify the economy, while sustaining Bhutan’s natural environment, will be crucial to build resilience and ensure green and inclusive development. In doing so, Bhutan can seize new opportunities, such as the acceleration of digital development and e-trade in goods and services, which can reduce the cost of distance and remoteness. Finally, Bhutan can leverage its renewable natural resources and carbon-negative status for job creation and additional financing for climate adaptation and mitigation."
P181139,Western and Central Africa,Western and Central Africa,,"Additional Financing to West Africa Food Systems Resilience Program, Phase 1",To increase preparedness against food insecurity and improve the resilience of food systems in participating countries.,"Ministry of Agriculture, Hydro-Agricultural Developments and Mechanization  - Burkina Faso,Ministry of Agriculture, Livestock and Rural Development - Togo,Ministry of Agriculture - Niger,Ministry of Rural Development - Mali",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P181139,"July 11, 2023","August 11, 2023",,"May 31, 2027",BANK APPROVED,G,,,,,20000000.0,"Republic of Niger,Republic of Mali,Republic of Burkina Faso,CILSS,ECOWAS,CORAF,Republic of Togo",,,,,,,"November 14, 2024","of New Activities and Activities to be Scaled Up under the Additional Financing Component 1: Digital Advisory Services for regional agriculture and food crisis prevention and management System (US$1.5 million). Under this component the AF will add a new activity to strengthen Togo’s FNS information and monitoring system and scale-up the parent project’s existing activities to strengthen the Cadre Harmonise and risk detection. Subcomponent 1.1: Upgrading Food Crisis Prevention and Monitoring Systems – US$1.5 million GAFSP. The AF will include a new activity to support the FNS through support to government departments responsible for agricultural statistics and monitoring and evaluation to carry out relevant surveys nationwide and provide technical assistance to improve the collection, processing, analysis, and dissemination of data. The AF will scale-up activities under Component 1 of the parent project to strengthen risk detection mechanisms to ensure effective preparedness and timely response while strengthening the country’s resilience to climate shocks. It will also scale up activities of the parent project which strengthen the existing collaboration between the national institutions working on early warning and CILSS. Finally, it will finance a Food Crisis Preparedness and Response Plan to strengthen disaster preparedness at community level and cover all the costs associated with increased data collection and processing, including the completion of field-level surveys linked to the Cadre Harmonise. Component 2: Sustainability and Adaptive Capacity of the Food System’s Productive Base (US$ 15.0 million). The AF will scale up existing interventions linked to the parent project while placing additional emphasis on improving nutrition outcomes. Subcomponent 2.1: Consolidate Regional Agricultural Innovation System - AF US$ 2.0 million GAFSP. The AF will scale-up research, innovation and extension services promoted under the parent project to invest in: i) equipment and knowledge related to vegetable farming in close collaboration with the National Center of Specialization in Fruits and Vegetables Burkina Faso; and ii) increased adoption of climate-smart practices and nutrition education- with a particular focus on youth and women. Climate-smart agriculture and nutrition education: To promote the adoption of climate-smart, gender- and nutrition-sensitive technologies in the targeted value chains, 400 extension workers8 will be trained in CSA practices and nutrition-smart agriculture, with an aim to specifically include women who are traditionally excluded from extension education. Following these trainings, they will be supported to establish farmer field schools and train farmers for the adoption of improved technologies. To foster gender-responsive nutrition education on the requirements of a safe, healthy, and diverse diet, the AF will build the capacity of 300 female trainers selected from the National Network of Women Farmers of Togo in the fields of food processing, storage (including to reduce risks of aflatoxin contamination), nutrition and food hygiene. Once trained, the women will establish a network of trainers who will replicate the training within their communities. Subcomponent 2.2: Strengthening Regional Food Security through Integrated Landscape Management (US$ 13.0 million). Under this sub-component, the AF will scale up existing activities to promote producers’ access to high quality inputs with a special focus on crops with high nutritional value and with special considerations for women, given that women frequently lack access to quality inputs. It will also add two new activities to support: i) households in the acquisition of improved breeds (poultry and small ruminants); ii) animal health; and iii) increased production and use of organic fertilizers and biopesticides. Vegetable production: To promote vegetable production, the AF will provide support to 2,600 producers (at least 60 percent of whom will be women) at a total of 60 sites to i) set up small-scale irrigation systems; and ii) access output markets. More specifically, the AF will support producers with irrigation kits based on solar pumping systems and support the drilling of the corresponding wells. These activities will focus on women, who traditionally lack access to agricultural assets. In addition, the AF will finance training sessions for women and youth on market access, and climate-resilient land management practices related to vegetable production and nutrition-smart agriculture under the responsibility of National Extension Agency, the Institute for Advice and Technical Support (ICAT). The trainings will be based on the establishment of supervised field schools or production plots using the farmer business school approach. In addition, nutrition education classes will be provided to producers. About 400 young people (40 percent women) will receive training on the maintenance of small irrigation infrastructure and equipment, facilitated through matching grants. Scale-up production of high nutritional value crops: To foster the production of crops with high nutritional value (orange-fleshed sweet potato, moringa, biofortified maize, cowpea and soybeans) and the increased use of organic fertilizers, 71,000 vulnerable producers, including 20,000 rice producers (60 percent women), 15,000 corn producers (40 percent women), 1,000 soybean producers (40 percent women), 20,000 market gardeners (60 percent women) and 15,000 cowpea producers (40 percent women) will be identified and supported with kits made up of subsidized seeds, fertilizers and biofertilizers. These kits will contribute to reducing gender gaps related to the use of agricultural inputs considering that female producers generally lack access to inputs. Seeds for food crops will be purchased primarily from the national network of certified seed producers in Togo (RNPSC-T)9. The kits will be distributed in accordance with arrangements put in place by the GoT as part of the inputs for grain program led by Togo's National Food Security Agency (ANSAT). Inputs will be delivered through a credit-based system where beneficiaries will receive inputs at the beginning of the planting season and pay back for the inputs in kind upon harvest. ANSAT will collect harvested products equivalent to the value of the inputs supplied to operate a revolving fund. This scheme facilitating access to inputs has already been implemented during past farming seasons with satisfactory results. It is being scaled up during the ongoing 2023-2024 farming season with the support of the Agricultural Transformation Agency (ATA), the Kara agropole, the Food Crisis Response and Emergency Support Programme in Togo (PRCASUT) funded by the African Development Bank (AfDB) as well as the Project to Strengthen Food Systems for Sustainable Access to Agricultural Inputs for Small Producers (Pro-SADI) funded by the European Union and implemented by the Food and Agriculture Organization (FAO) and the World Food Program (WFP). If feasible, the production of other drought resilient crops such as millet will also be supported. New activities on animal breeds and health: To improve livestock productivity and harness additional income generating opportunities, the AF will provide support for 2,000 beneficiaries (40 percent female) in acquiring improved livestock breeds and in improving animal health (vaccination campaigns for poultry and small ruminants) and animal shelter.10 Beneficiary households will be provided with about 800 poultry and 1200 small ruminants. To improve animal health in targeted areas for the benefit of a total of 4,000 farmers (40 percent female), including 2,000 who have received improved livestock breeds, the AF will acquire vaccines and carry out vaccination campaigns. This will involve the acquisition of i) 10,000 doses of vaccine against ‘peste des petits ruminants (PPR)’; ii) 60,00"
P180680,Western and Central Africa,Republic of Chad,,Chad Health Emergency Preparedness and Response Additional Financing,"To prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Chad.",Ministère de la Santé Publique,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P180680,"June 28, 2023","June 30, 2023",,"June 30, 2024",BANK APPROVED,G,,,,,3936000.0,Republic of Chad,,,,,,,"July 7, 2023","While the project will help strengthen the national capacity to respond to the COVID-19 emergency, the distribution of equipment and supplies and the training of staff will prioritize the seven provinces identified by the WHO as high-risk provinces. These provinces are those were there are points of entry to the country and include: N’Djamena, Lake Chad, Mayo Kebbi East, Mayo Kebbi West, Logone Oriental, Moyen-Chari and Ouaddai.The project has 4 components: (1) Emergency COVID-19 Preparedness and Response, (2) Community Engagement and Social and Behavior Change Communication, (3) Implementation Management, Monitoring and Evaluation, and Coordination, and (4) Contingent Emergency Response (CERC)."
P181157,Latin America and Caribbean,Republic of Nicaragua,,Additional Financing to the Nicaragua Eta and Iota Emergency Response Project,The Project Development Objective is to support Nicaragua’s emergency response and restoration of services and economic activities in critical sectors in the Project area.,"United Nations Office for Project Services (UNOPS),Ministry of Finance and Public Credit (Ministerio de Hacienda y Credito Publico (MHCP)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P181157,"June 1, 2023","June 16, 2023",,"May 31, 2026",BANK APPROVED,G,,0.0,80000000.0,,15000000.0,Republic of Nicaragua,,,,,,,"July 8, 2024","The proposed Additional Financing aims to scale up the Project's impact by allocating additional funds under component 2 (Livelihood Recovery) of the Parent Project, adding subcomponent (2.2 -New activities): Agri-food Local Innovation Development Plans for Enhancing Food and Nutrition Security (US$15 million). Activities will focus on the Caribbean coast region of Nicaragua which includes some of the areas heavily affected by hurricanes Eta,Iota and Julia that caused extensive damage to agricultural production in the same areas,. The Project area has been defined as those areas suffering from the compound impacts of the hurricanes in the North Caribbean Autonomous Region (Region Autonoma de la Costa Caribe Norte - RACCN) and South Caribbean Autonomous Region (Region Autonoma de la Costa Caribe Sur - RACCS) as defined in the Project Operations Manual (POM). With the AF, the Project has three components:Component 1: Recovery, rehabilitation, and resilient reconstruction (US$69 million) Subcomponent 1.1: Emergency disaster recovery (US$1.6 million) Under this subcomponent the Project supports response to damages caused by hurricane Julia in 2022 and future similar events (as per the latest restructuring). Activities supported under the subcomponent include, among others, minor repair works, provision of construction materials, and technical assistance to affected communities.Subcomponent 1.2: Rehabilitation and reconstruction of selected critical infrastructure (US$30 million)During disasters, the continued operation of critical public infrastructure is key to efficient response and recovery. A significant number of roads, bridges, and public buildings were heavily damaged and/or destroyed after the passage of Eta and Iota. This subcomponent is financing the rehabilitation and reconstruction of selected critical infrastructure, including (a) conducting any necessary engineering assessments for these works; (b) supporting demolition and debris removal, as applicable; (c) taking measures to restore critical services and use of selected critical Infrastructure, as needed; and (d) preparing the technical specifications and acquiring the necessary equipment to resume the provision of critical public services. The Project will support investments that (a) maximize climate co-benefits; and (b) are resistant to climate-induced events such as floods, storm surges, and landslides by using design standards that increase asset resilience to higher hazard intensity levels (including the enforcing of building code legislation or updating its provisions, when necessary). Where relevant, selected investments will include appropriate energy efficiency measures. Detailed climate-resilient and inclusive design criteria are included in the POM.Subcomponent 1.3: Rehabilitation and reconstruction of selected resilient housing and community-level social infrastructure (US$37.4 million)The resilient recovery of housing and community-level social infrastructure for those affected by the hurricanes is a priority-need for the affected populations. This subcomponent is financing the rehabilitation and reconstruction of selected housing units and community-level social infrastructure in the Project area to make them safer and culturally appropriate, including, inter alia: (a) conducting required engineering assessments and designs; (b) supporting demolition and debris removal; and (c) taking measures to restore critical services and usage of said selected structures. Housing reconstruction will consider the specific and various needs of the population, traditional designs, the application of construction standards, and current and future safety conditions. It will draw on experiences from the recovery and reconstruction process after hurricane Felix. The works under this subcomponent will be complemented by functional upgrades and climate-resistant designs, including energy efficiency features where relevant, enforcing building code legislation to increase the resilience of the housing to climate-related risks.Component 2: Livelihood recovery (US$24.25 million)The AF will add to Component 2 a new subcomponent on Agri-food LIDPs after which Component 2 will consist of the following two subcomponents:(Subcomponent 2.1: Local Innovation Development Plans for Livelihood Recovery in the Artisanal Fishing Sector (US$10 million already being implemented by the parent Project). Currently under implementation, it focuses on restoring the livelihoods in the subsistence artisanal fishing sector by providing fishing equipment, supplies and training. Beneficiaries are selected based on existing LIDPs that were designed for informal and formal groups of small-scale fishermen to benefit from the GAFSP-funded PAIPSAN Project (2015-2019) and other criteria as detailed in the Project Operational Manual (POM). Beneficiaries are prioritized based on participatory approaches with affected populations as described in the parent Project’s Environmental and Social (E&S) instruments.Subcomponent 2.2 (New): Agri-food Local Innovation Development Plans for Enhancing Food and Nutrition Security (US$14.25 million from the AF Project). This is the main additional activity of the AF, and will enhance the productive and marketing capacities of family farmers (subsistence agriculture; commercial agriculture) and small-scale rural agribusiness by (a) providing technical assistance (consultancy services, goods, training, non-consultancy services, operational costs) to support the participatory (demand-driven) identification and design of climate and nutrition-smart agri-food LIDPs; and (b) grants to finance their implementation (goods, consultancy services, non-consultancy services, small works, training, and operational costs) alongside the beneficiaries. The agri-food LIDPs will support formal and informal groups of beneficiaries (i.e., cooperatives, producers' associations, farmers groups, women farmer groups, small-scale young agri-entrepreneurs, indigenous communities, afro descendants) to achieve improvements and innovations in production and processing and consolidate market opportunities. The grants will range approximately between US$1,250 and US$2,000 per beneficiary, while the beneficiaries will contribute with in-kind counterpart funding.Component 3: Monitoring, evaluation, and audit of the Project (US$1.75 million)The AF will be used to add an amount of US$0.75 million to track the new indicators introduced by the AF Project and expand the audit to also cover the AF Project. Scaling up of ongoing activities will include (a) expanding the audit of the Project; and (b) expanding the monitoring and evaluation (M&E) activities of the Project, including, inter alia, the development of baselines as needed to measure project results, a final evaluation of the Project, rapid impact assessments, technical audits, and independent inspections."
P170035,Europe and Central Asia,Republic of Moldova,,"Agriculture Governance, Growth and Resilience Investment Project","Improve delivery of public agricultural services, foster market-oriented growth and increase resilience of targeted beneficiaries, and in case of an eligible crisis or emergency, respond promptly and effectively to it.",Ministry of Agriculture and Food Industry,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P170035,"June 23, 2022","May 31, 2023","October 2, 2023","September 1, 2029",BANK APPROVED,I,,55000000.0,0.0,,0.0,Ministry of Finance,,,Substantial,,,,"November 3, 2023","The development objective of the Agriculture Governance, Growth, and Resilience Investment Project for Moldova is to improve delivery of public agricultural services, foster market-oriented growth and increase resilience of targeted beneficiaries, and in case of an eligible crisis or emergency, respond promptly and effectively to it. The project comprises of five components. The first component, enhancing sector governance and agriculture knowledge management will improve sector governance, essential systems for policy formulation and implementation, public spending monitoring, and evaluation will be upgraded. It consists of following sub-components: (i) enhancing the functionality of the paying agency; (ii) enhancing food quality and safety systems; and (iii) enhancing access to agricultural knowledge. The second component, fostering growth in underperforming sub-sectors aims to develop these sub-sectors in a manner consistent with European Union (EU) funding requirements, which will require retrofitting of productive systems to meet the eligibility criteria for pre-accession funds. It consists of following sub-components: (i) investment support for fostering growth; and (ii) capacity building and business development support. The third component, strengthening resilience through irrigation services is aligned with the global crisis response framework (GCRF) pillar on strengthening resilience. It consists of following sub-components: (i) rehabilitation of irrigation infrastructure; and (ii) strengthening the enabling environment for irrigation management. The fourth component, contingent emergency response component (CERC) will be contingent on the type and impact of an emergency and will not be a-priori limited to any sectors, regions, or specific activities. The fifth component, project management will finance costs related to project implementation and coordination across various government agencies."
P177041,Western and Central Africa,Republic of Mali,,RESILAND Mali Landscape Restoration Project,To increase adoption of climate smart landscape restoration practices and access to income earning opportunities,Ministère de l'Environnement et Developpement Durable (MEADD),Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P177041,"November 19, 2021","May 25, 2023","January 10, 2024","October 29, 2030",BANK APPROVED,I,,0.0,150000000.0,,0.0,Republic of Mali,,,Substantial,,,,"February 26, 2024","The project is designed around key resilience factors aiming to slow the deterioration of the conflict situation as recommended by the Mali Prevention and Resilience Allocation: (a) involve grass root civil society organizations (CSOs), (b) increase the role of the private sector in rural areas; (c) include and consult with customary and religious authorities, (d) develop intercommunal agreements over natural resources management. All these elements of project design have a great potential for peacebuilding in many parts of the conflict zones. The design of the project is also based on the nexus between natural resources degradation, climate change impacts, and social conflicts. In this context, implementing the Landscape Restoration Approach is required to face these challenges and break the current deadlock. This approach is recognized as an effective mitigation strategy by the Intergovernmental Panel on Climate Change (IPCC) and several experts due to its multiple adaptation and mitigation effects. The project-proposed landscape restoration activities contribute to achieving Mali’s commitments under the Land Degradation Neutrality and NDC. Since in Mali, communes’ territories are linked to specific socio-cultural-linguistic groups and ecosystems, it was agreed to consider the landscape unit equivalent to the commune territory. The Development Objective of the Project is to increase adoption of landscape restoration practices and enhance people’s lives in selected communes.The PDO Level Indicators• Land area under sustainable landscape management practices (CRI, Hectare [Ha])• People with increased benefits from natural resources, disaggregated by sex (Male/female)• Net greenhouse gas (GHG) emissions (CRI, Metric tons CO2/year)• Target beneficiaries with rating “Satisfied” or above on project interventions (disaggregated by sex and age).The project is structured around three interdependent components that help achieve its development objective. Component 1 focuses on strengthening capacities, planning, and conflict prevention strategy. Component 2 focuses on promoting sustainable investment in (a) degraded landscapes to restore their physical and social functions, and (b) improving market access of NTFPs and fishery products through productive alliances. Component 3 focuses on project coordination, communication, and M&E. A fourth Contingent Emergency Response Component (CERC) is added to immediately respond to a potential crisis following a man-made or natural disaster.The project will preliminary target 87 communes selected based on criteria related to the consolidation / synergy with ongoing Bank projects (mainly PREEFN and PGRNCC); the Malian GGW interventions area; commune poverty profile; and ecosystem vulnerability (see technical background document). Additional communes, including in other regions, may be added using the same criteria.The project is structured around three interdependent components which contribute to achieve the project development objective. A fourth emergency response and contingency component is added to respond immediately to potential crisis following a human-made or natural disaster. Component 1 focuses on strengthening capacities, planning, and communication. Component 2 focuses on promoting sustainable investment (i) in landscapes to restore their physical and social functions including services and resilience capacity and to increase their productivity; and (ii) to enhance local population resilience by improving access of their FNTPs and fishery products to economic opportunities and markets by co-financing investments in Productive Alliances. Component 3 focuses on project coordination and monitoring and evaluation.• Component 1: Institutional support and Capacity Building for Landscape Restoration and Resilience (US$14 million)This component will support initiatives aimed at improving the capacities of all stakeholders in relation to the challenges of landscape development and resilience, improving the knowledge base about landscapes through specific studies, strengthening or updating integrated landscape development and forest and rangeland management plans and share knowledge through an appropriate communication strategy.Sub-component 1.1: Human and Institutional Capacity Strengthening (US$5.5 million)Capacity Strengthening initiatives will aim to: 1.1.1. Support capacity development (US$2 million) of stakeholders involved at national, regional and communal levels, including members of the Project Management Unit (PMU) (US$2 millions). 1.1.2. Enabling environment for mobilizing climate finance (US$3.5 million). Proposed activities aim to support the implementation of Mali’s NDC, mainly in the forest and land-use sector (climate mitigative and adaptive measuresSub-component 1.2: Territorial Planning and development (US$7 million)1.2.1 Updating / Developing cultural environment and social development programs (PDESCs) at communal level (USD3 million). 1.2.2 Updating and developing forest and pastoral management plans (USD4 million)Sub-component 1.3:Conflict management strategy (US$1.5 million)• Component 2: Investments in Landscapes Restoration communities' resilience (US$122 million)This component will finance strategic and technically feasible investments (sub-projects) aimed at restoring land and ecosystem services and improve livelihood resilience. The rationale is that conservation and restoration of land and the pursuant efforts to manage that land sustainably can increase soil fertility, fodder, water, and ecosystem services, contribute to climate change mitigation and adaptation through carbon sequestration in vegetation and soil, which in turn can increase land, resource, and livestock productivity, and protect biodiversity. Landscape restoration will aim to reconcile economic, social and environmental concerns within a holistic framework, with the best projects utilizing environmental improvements as drivers for socio-economic regeneration . It will enhance and diversify local livelihoods, improve food security, create climate-smart jobs, and increase resilience to the impact of climate change. Sub-component 2.1 Restoring landscapes and ecosystem services (US$70 million)While protecting pastoral and forest landscapes is important, restoring them where they have been lost and degraded is also necessary, necessary because without those landscape, soils, water and the goods and services provided by forests and pastoral resources are lost or impaired. Restoring these landscapes in the fragile and vulnerable context of targeted areas is about much more than returning trees to the landscape. It is about meeting both development and environmental priorities in a context that is primarily rural and predominantly low in terms of human development. Under this sub-component, the project will support restoration of key landscapes of the following ecosystems crossed by the GGWI belt in Mali: 2.1.1 Restoration of the Niger Inner Delta (NID) Landscapes (US$30 million)2.1.2 Restoration of other Landscapes crossed by the by the GGWI belt in Mali (US$30 million)2.1.3: Community integrated Agro-sylvo-pastoral farms (FACI) (US$10 millions)Sub-component 2.2 Improving local livelihoods (US$50 millions)2.2.1 Sustainable development of Non-Timber Forest Products (NTFPs) (US$35 millions)2.2.2 Community fishery (US$15 million)2.2.3 Strengthening local social and non-tangible capital of targeted communes (US$2 million)Component 3: Coordination and monitoring-evaluation (US$14 million)This component seeks to provide necessary support for the daily management of the project, and monitoring and evaluation of the field activities. Sub-component 3.1 Coordination and project management (US$10 million)Sub-component 3.2. Monitoring and Evaluation (M&E) (US$4 million)Component 4: Contingent Emergency Response A CERC will be included under the project in accordance with World"
P177671,South Asia,Republic of India,,Animal Health System Support for One Health Program (AHSSOH),The Program Development Objective is to increase the quality and coverage of animal health services for livestock farmers and improve One Health coordination in Participating States.,"Ministry of Fisheries, Animal Husbandry & Dairying, Department of Animal Husbandry & Dairying",,https://projects.worldbank.org/en/projects-operations/project-detail/P177671,"December 20, 2021","May 10, 2023",,"November 30, 2027",BANK APPROVED,I,,82000000.0,0.0,,0.0,India,,,,,,,"June 28, 2024","The development objective of Animal Health System Support for One Health (OH) Project for India is to increase the quality and coverage of animal health services for livestock farmers and improve One Health coordination in Participating States. The Program will be implemented over five years (FY23-28). The Program for Results (PforR) focuses on building systemic capacity for animal health management and OH coordination. As such, it will enhance the impact of the larger government program expenditures. The Program adds value to the Livestock Health and Disease Control Program (LHDCP). The Program will support five Results Area (RAs): (i) Strengthening Institutional Capacity for Implementation and Coordination of the OH Framework; (ii) Enhancing Diagnostic Capacity for Effective and Timely Disease Diagnosis; (iii) Increasing Access to Quality Veterinary Services; (iv) Enhancing Surveillance Capacity for Effective Disease Reporting and Monitoring; and (v) Increasing Community Awareness of Animal Disease Management Practices and Zoonoses."
