,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
project_id,ifi,country,year,doc_type,item_type,label,primary_category,specific_outcome,intended_or_measured,species_tags,evidence_text,citations,needs_review_flag,duplicate_flag,source_pages,source_sections,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,"Increase in percentage of risk‑based official controls in veterinary, food safety and plant health services",Inducing Policy Change,Institutional changes,Intended,unspecified,"The project aims to increase the percentage of improved risk‑based official controls by veterinary, food safety and plant health services, enhancing institutional capacity and regulatory compliance.","World Bank, 2022, p. 45",FALSE,FALSE,p.45,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Farm and client registry improved and new value‑chain registers established,Inducing Policy Change,Institutional changes,Intended,unspecified,Intermediate indicators include improvement of the farm and client registry and establishment of new registers for priority value chains to enhance targeting and transparency of support programs.,"World Bank, 2022, p. 46",FALSE,FALSE,p.46,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Establishment of a Farm Accountancy Data Network (FADN),Inducing Policy Change,Institutional changes,Intended,unspecified,"The results framework includes an intermediate indicator for establishing a Farm Accountancy Data Network (FADN), contributing to transparent and evidence-based agricultural policy.","World Bank, 2022, p. 46",FALSE,FALSE,p.46,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Extension staff trained in climate‑smart production practices and number of farmers reached with agricultural assets or services,Inclusivity & Women’s Empowerment,Knowledge increase,Intended,multiple,"Intermediate indicators track the number of extension staff trained in climate‑smart production practices, including women, as well as the number of farmers (male and female) reached with agricultural assets or services, reflecting efforts to build capacity and inclusivity.","World Bank, 2022, p. 46",FALSE,FALSE,p.46,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Area provided with new or improved irrigation or drainage services,Resilience,Resilience,Intended,unspecified,"An intermediate indicator measures the hectares of area provided with new or improved irrigation or drainage services, highlighting investment in climate‑resilient infrastructure.","World Bank, 2022, p. 47",FALSE,FALSE,p.47,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2022,PAD,outcome,Number of upgraded veterinary and food safety laboratories and adoption of IT systems,Inducing Policy Change,Institutional changes,Intended,unspecified,"Intermediate indicators measure the number of veterinary and food safety laboratories upgraded and the adoption of new IT systems by staff (with female disaggregation), reflecting strengthening of regulatory and control capacity.","World Bank, 2022, p. 47",FALSE,FALSE,p.47,Results Framework,,,,
P171266,World Bank,Bosnia and Herzegovina,2021,PID,objective,Duplicate PID; content ignored because PAD exists,,,,,,,FALSE,TRUE,,,,,,
P159476,World Bank,Burkina Faso,2017,PAD,objective,Enhance productivity and commercialization of non‑pastoral animal production and strengthen capacity to respond to crises,,,,,"The project development objectives are to enhance productivity and commercialization of non‑pastoral animal production in selected value chains and strengthen the country’s capacity to respond to severe crises affecting the livestock sector, providing immediate and effective response in an eligible emergency.","World Bank, 2017, p. 30",FALSE,FALSE,p.30,Datasheet,,,,
P159476,World Bank,Burkina Faso,2017,PAD,intervention,"Improve access to animal health services through vaccination campaigns, disease surveillance and laboratory rehabilitation",Public Health,,,cattle; small ruminants; poultry; swine,"Subcomponent 1.1 finances vaccination campaigns against priority diseases such as CBPP, FMD, fowl pox, PPR, ASF and HPAI, strengthens disease surveillance and diagnostic capacity, rehabilitates veterinary laboratories and posts, and trains veterinary services to improve animal health.","World Bank, 2017, p. 70",FALSE,FALSE,p.70,Component 1.1 (Access to animal health services),,,,
P159476,World Bank,Burkina Faso,2017,PAD,intervention,"Improve access to quality inputs including feed, forage seeds and superior genetics through artificial insemination and improved fingerlings",Livestock Management & Technologies,,,cattle; dairy; small ruminants; poultry; swine; fish,"Subcomponent 1.2 improves access to quality inputs by supporting feed quality control, producing forage seeds, providing high‑performance bulls for genetic improvement, expanding artificial insemination, regulating animal genetic resources and introducing improved fingerlings for aquaculture.","World Bank, 2017, p. 71",FALSE,FALSE,p.71,Component 1.2 (Access to quality inputs),,,,
P159476,World Bank,Burkina Faso,2017,PAD,intervention,"Strengthen institutions through training, guidelines, rehabilitation of veterinary posts and markets and central procurement of veterinary drugs",Advisory and Extension,,,multiple,"Subcomponent 1.3 provides institutional strengthening by developing technical guidelines, transferring new farming techniques, training veterinary school staff (with emphasis on women), rehabilitating veterinary posts and markets, raising awareness about quality standards and establishing a central procurement unit to combat counterfeit veterinary medicines.","World Bank, 2017, p. 72",FALSE,FALSE,p.72,Component 1.3 (Institutional strengthening),,,,
P159476,World Bank,Burkina Faso,2017,PAD,intervention,"Enhance the investment climate through studies, training and capacity building for financial institutions and private sector actors",Markets & Finance,,,multiple,"Subcomponent 2.1 finances studies, training, business exchanges and strategic planning to improve the investment climate, promotes livestock product branding and quality certification and builds capacity of partner financial institutions to develop tailored financial products for livestock investors.","World Bank, 2017, p. 74",FALSE,FALSE,p.74,Component 2.1 (Investment climate),,,,
P159476,World Bank,Burkina Faso,2017,PAD,intervention,"Provide matching grants to productive alliances and micro‑projects for equipment, livestock and inputs with favourable terms for women and youth",Markets & Finance,,,multiple,"Subcomponent 2.2 provides matching grants to productive alliances and micro‑projects to finance equipment, small civil works, live animals and inputs. Grants include capacity building and more favourable terms for women and youth to support inclusive value‑chain development.","World Bank, 2017, p. 75",FALSE,FALSE,p.75,Component 2.2 (Productive alliances and micro‑projects),,,,
P159476,World Bank,Burkina Faso,2017,PAD,intervention,"Strengthen crisis management through operationalizing the Permanent Secretariat, developing crisis tools and contingency responses",Policy & Regulatory,,,multiple,"Component 3 supports crisis management by operationalizing the Permanent Secretariat for livestock crises, providing equipment, training and tools for crisis management and establishing a Contingency Emergency Response mechanism to respond rapidly to livestock shocks.","World Bank, 2017, p. 78",FALSE,FALSE,p.78,Component 3 (Crisis management),,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Increase in yields of selected animal value chains,Sustainable Economic Growth,Productivity,Intended,cattle; dairy; small ruminants; poultry; swine,"PDO indicators include a percentage increase in yields for selected animal value chains (targeting a 20 percent gain), reflecting improved productivity in cattle, small ruminant, milk, poultry and pork value chains.","World Bank, 2017, p. 120",FALSE,FALSE,p.120,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Incremental sales in targeted value chains,Sustainable Economic Growth,Market efficiency,Intended,cattle; dairy; small ruminants; poultry; swine,"A PDO indicator measures incremental sales in targeted value chains (target 30 percent), indicating enhanced commercialization and market efficiency for livestock producers.","World Bank, 2017, p. 120",FALSE,FALSE,p.120,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Reduced prevalence of animal diseases such as CBPP and PPR,Resilience,Resilience,Intended,cattle; small ruminants,Intermediate results indicators track reductions in prevalence of Contagious Bovine Pleuropneumonia (CBPP) and Peste des Petits Ruminants (PPR) as a result of improved vaccination and disease surveillance.,"World Bank, 2017, p. 121",FALSE,FALSE,p.121,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Number of poultry vaccinated against priority diseases,Resilience,Resilience,Intended,poultry,"The results framework counts the number of poultry vaccinated against diseases like fowl pox and highly pathogenic avian influenza, showing efforts to control epidemics and increase resilience.","World Bank, 2017, p. 121",FALSE,FALSE,p.121,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Farmers adopting improved agricultural technology,Sustainable Economic Growth,Adoption,Intended,multiple,"An intermediate indicator records the number of farmers adopting improved agricultural technology, such as better feeding practices or animal management methods, indicating diffusion of innovations.","World Bank, 2017, p. 121",FALSE,FALSE,p.121,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,"Farmers reached with agricultural assets or services (male, female, youth)",Sustainable Economic Growth,Adoption,Intended,multiple,"PDO and intermediate indicators track the number of farmers reached with agricultural assets or services, including disaggregation by female and youth beneficiaries, reflecting inclusive outreach and adoption of technologies.","World Bank, 2017, p. 122",FALSE,FALSE,p.122,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Number of micro‑projects funded and volume of loans granted by partner financial institutions,Sustainable Economic Growth,Income diversity,Intended,multiple,"Intermediate indicators include the number of micro-projects funded (with female and youth disaggregation) and the volume of loans granted by partner financial institutions, supporting diversification and access to finance.","World Bank, 2017, p. 122",FALSE,FALSE,p.122,Results Framework,,,,
P159476,World Bank,Burkina Faso,2017,PAD,outcome,Time between crisis requests and disbursement and beneficiary satisfaction rate,Resilience,Resilience,Intended,multiple,"Indicators measure the number of weeks between a crisis request and disbursement under the Contingency Emergency Response and the beneficiary satisfaction rate with services, reflecting responsiveness and resilience capacity.","World Bank, 2017, p. 123",FALSE,FALSE,p.123,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,objective,"Improve productivity, commercialization and resilience of key sedentary livestock production systems for targeted beneficiaries",,,,,"The Project Development Objective is to improve the productivity, commercialization and resilience of key sedentary livestock production systems for targeted beneficiaries in project areas.","World Bank, 2023, p. 17",FALSE,FALSE,p.17,Datasheet,,,,
P178598,World Bank,Burkina Faso,2023,PAD,intervention,"Develop Livestock Master Plan, update feeding, breeding, dairy and animal health policies and improve food safety and SPS regulations",Policy & Regulatory,,,multiple,"Subcomponent 1.1 provides technical assistance to prepare a Livestock Master Plan, update policies on feeding, breeding, dairy and animal health, improve food safety and SPS regulations, develop a genetic resource management strategy and build the Ministry’s capacity for climate‑smart policy formulation and M&E.","World Bank, 2023, p. 35",FALSE,FALSE,p.35,Component 1.1 (Policy formulation and capacity strengthening),,,,
P178598,World Bank,Burkina Faso,2023,PAD,intervention,"Strengthen animal husbandry and advisory services through GAHP training, extension support, improved breeds and drought‑tolerant forage seeds",Advisory and Extension,,,cattle; dairy; small ruminants; poultry,"Subcomponent 1.2 supports animal husbandry by developing training materials and farmer field schools, training extension agents, distributing improved bulls and establishing artificial insemination centres, providing drought‑tolerant forage seeds, and supplying livestock to internally displaced and conflict‑affected populations.","World Bank, 2023, p. 36",FALSE,FALSE,p.36,Component 1.2 (Animal husbandry and advisory services),,,,
P178598,World Bank,Burkina Faso,2023,PAD,intervention,"Enhance animal health services through disease surveillance, training and vaccination programs for CBPP, FMD, Newcastle disease, Fowl Pox and PPR",Public Health,,,cattle; small ruminants; poultry,"Subcomponent 1.3 strengthens animal health services by improving surveillance and control of endemic and emerging diseases, rehabilitating quarantine posts, training farmers and veterinarians, and delivering vaccination campaigns targeting diseases such as CBPP, FMD, Newcastle disease, Fowl Pox and PPR. It also provides vaccines, solar‑powered cold chains, strengthens laboratories, digitalizes livestock identification, supports One Health implementation and equips private veterinary practitioners.","World Bank, 2023, p. 37",FALSE,FALSE,p.37,Component 1.3 (Animal health services strengthening),,,,
P178598,World Bank,Burkina Faso,2023,PAD,intervention,"Develop climate‑smart productive infrastructure and markets including cooling centres, transport, slaughterhouses, climate‑smart markets and food safety laboratories",Rural/Public Infrastructure,,,multiple,"Subcomponent 2.1 finances climate‑resilient livestock infrastructure such as cooling centres, transport services, slaughterhouses and climate‑smart livestock markets with water, shade and weighbridges. It upgrades abattoirs, links producers and traders, improves price discovery, professionalizes trade, upgrades the ABNORM food certification laboratory and develops an integrated Livestock Market Information System (LMIS).","World Bank, 2023, p. 40",FALSE,FALSE,p.40,Component 2.1 (Productive infrastructure and marketing),,,,
P178598,World Bank,Burkina Faso,2023,PAD,intervention,"Improve access to finance through business development services, capacity building for PFIs and establishment of the Livestock Improvement Financial Facility",Markets & Finance,,,multiple,"Subcomponent 2.2 provides business development services to livestock value‑chain actors, builds capacity of partner financial institutions, and establishes a Livestock Improvement Financial Facility to provide matching grants for climate‑smart productive investments, with carbon impact assessments and prioritization of women and youth.","World Bank, 2023, p. 43",FALSE,FALSE,p.43,Component 2.2 (Access to finance),,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Increase in productivity of livestock species (milk yield and carcass weight),Sustainable Economic Growth,Productivity,Intended,cattle; dairy; small ruminants,"PDO indicators measure increases in productivity of key livestock species, such as higher milk yield per cow and heavier carcass weights for cattle, sheep and goats, reflecting improved feeding and husbandry practices.","World Bank, 2023, p. 90",FALSE,FALSE,p.90,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,"Increase in volume of market sales for milk, meat and eggs",Sustainable Economic Growth,Market efficiency,Intended,cattle; dairy; small ruminants; poultry,"The results framework tracks increases in the volume of sales of milk, meat and eggs by producers supported by the project, indicating enhanced commercialization and market linkages.","World Bank, 2023, p. 90",FALSE,FALSE,p.90,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Farmers adopting Good Animal Husbandry Practices (GAHPs),Sustainable Economic Growth,Adoption,Intended,multiple,"A key PDO indicator counts the number of farmers adopting Good Animal Husbandry Practices as a result of training and extension support, demonstrating uptake of improved practices.","World Bank, 2023, p. 90",FALSE,FALSE,p.90,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Vulnerable farmers affected by insecurity supported for stock asset replenishment,Resilience,Resilience,Intended,unspecified,"The results framework includes an indicator counting vulnerable and internally displaced farmers who receive livestock and inputs to replenish their herds, enhancing resilience in conflict‑affected areas.","World Bank, 2023, p. 91",FALSE,FALSE,p.91,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Direct project beneficiaries (percentage female),Inclusivity & Women’s Empowerment,Women’s empowerment,Intended,unspecified,"An outcome indicator counts the number of direct project beneficiaries and the percentage of female beneficiaries, aiming to ensure equitable participation and empowerment of women in the livestock sector.","World Bank, 2023, p. 91",FALSE,FALSE,p.91,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Climate‑friendly livestock master plan developed and integrated animal feed strategy prepared,Inducing Policy Change,Institutional changes,Intended,unspecified,"Intermediate results indicators include development of a climate‑friendly livestock master plan and preparation of an integrated animal feed strategy, reflecting strategic planning and institutional reform.","World Bank, 2023, p. 92",FALSE,FALSE,p.92,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,"Percentage of animals vaccinated (cattle, small ruminants, poultry)",Resilience,Resilience,Intended,cattle; small ruminants; poultry,"Intermediate indicators measure the percentage of cattle, small ruminants and poultry vaccinated against priority diseases, reflecting improved disease control and resilience.","World Bank, 2023, p. 92",FALSE,FALSE,p.92,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Number of cows inseminated and number of artificial insemination centres rehabilitated,Sustainable Economic Growth,Productivity,Intended,cattle; dairy,"The results framework counts the number of cows inseminated and the number of artificial insemination centres rehabilitated, indicating improvements in genetic quality and productivity.","World Bank, 2023, p. 92",FALSE,FALSE,p.92,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Number of milk collection centres and slaughterhouses built or rehabilitated,Sustainable Economic Growth,Market efficiency,Intended,cattle; dairy; small ruminants,"Intermediate indicators record the number of milk collection centres and slaughterhouses built or rehabilitated, improving post‑harvest handling and market efficiency.","World Bank, 2023, p. 93",FALSE,FALSE,p.93,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Number of business plans co‑financed by the Livestock Improvement Financial Facility and proportion of grants to female farmers,Sustainable Economic Growth,Income diversity,Intended,unspecified,"Indicators track the number of business plans co‑financed through the Livestock Improvement Financial Facility and the proportion of grants awarded to female farmers, supporting inclusive financing and enterprise development.","World Bank, 2023, p. 93",FALSE,FALSE,p.93,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PAD,outcome,Livestock Market Information System operational and reporting statistics,Inducing Policy Change,Institutional changes,Intended,unspecified,"An intermediate indicator specifies that an integrated Livestock Market Information System (LMIS) should be operational and reporting market statistics, improving transparency and decision‑making.","World Bank, 2023, p. 93",FALSE,FALSE,p.93,Results Framework,,,,
P178598,World Bank,Burkina Faso,2023,PID,objective,Duplicate PID; content ignored because PAD exists,,,,,,,FALSE,TRUE,,,,,,
P164696,World Bank,Burkina Faso,2018,PAD,objective,"Increase the quality and utilization of health services with focus on maternal, child and adolescent health, nutrition and disease surveillance",,,,,"The Project Development Objective is to increase the quality and utilization of health services with a particular focus on maternal, child and adolescent health, nutrition and disease surveillance.","World Bank, 2018, p. 30",FALSE,FALSE,p.30,Datasheet,,,,
P164696,World Bank,Burkina Faso,2018,PAD,intervention,Establish a One Health platform and emergency operations centre for cross‑sectoral disease surveillance coordination,Public Health,,,multiple,"Component 3 supports establishing a national One Health platform and an emergency operations centre to coordinate across ministries of health, agriculture, animal husbandry and environment, enabling rapid cross‑sectoral disease surveillance and response.","World Bank, 2018, p. 45",FALSE,FALSE,p.45,Component 3 (One Health platform),,,,
P164696,World Bank,Burkina Faso,2018,PAD,intervention,"Strengthen disease surveillance through interoperable electronic reporting, community surveillance and training of surveillance agents",Public Health,,,multiple,"Subcomponent 3.1 finances improved ICT capacity to establish an interoperable electronic real‑time reporting system, strengthens linkages between national animal and human health surveillance systems, supports community‑level surveillance and trains surveillance agents and veterinary facilities.","World Bank, 2018, p. 46",FALSE,FALSE,p.46,Component 3.1 (Disease surveillance),,,,
P164696,World Bank,Burkina Faso,2018,PAD,intervention,Enhance preparedness and emergency response capacity through updated cross‑sectoral plans and training for health professionals,Public Health,,,multiple,"Subcomponent 3.2 strengthens health system preparedness by updating cross‑sectoral emergency preparedness plans for priority zoonotic diseases and food safety and providing training for health professionals in disease surveillance, laboratory biosafety and food safety.","World Bank, 2018, p. 47",FALSE,FALSE,p.47,Component 3.2 (Preparedness and response),,,,
P164696,World Bank,Burkina Faso,2018,PAD,intervention,Build institutional capacity through assessments of animal and human health systems and training,Public Health,,,multiple,"Subcomponent 3.3 supports institutional capacity building, financing routine independent assessments of animal and human health capacities using OIE and WHO tools and providing training and project management for One Health implementation.","World Bank, 2018, p. 48",FALSE,FALSE,p.48,Component 3.3 (Institutional capacity building),,,,
P164696,World Bank,Burkina Faso,2018,PAD,outcome,Multi‑hazard national public health emergency preparedness and response plan implemented,Inducing Policy Change,Institutional changes,Intended,multiple,"A PDO indicator measures whether a multi‑hazard national public health emergency preparedness and response plan is implemented, signifying strengthened institutional preparedness and cross‑sectoral coordination.","World Bank, 2018, p. 100",FALSE,FALSE,p.100,Results Framework,,,,
P164696,World Bank,Burkina Faso,2018,PAD,outcome,Interoperable electronic real‑time disease reporting system operational,Inducing Policy Change,Institutional changes,Intended,multiple,"Intermediate indicators include establishment of an interoperable electronic real‑time reporting system linking animal and human health surveillance, demonstrating improved surveillance capacity.","World Bank, 2018, p. 101",FALSE,FALSE,p.101,Results Framework,,,,
P164696,World Bank,Burkina Faso,2018,PID,objective,Duplicate PID; content ignored because PAD exists,,,,,,,FALSE,TRUE,,,,,,
P170934,World Bank,Burkina Faso,2020,PID,objective,"Support government efforts to strengthen fiscal management, improve natural resources management and raise mining and livestock productivity, and improve health service delivery",,,,,"The Program Development Objective is to support government efforts to strengthen fiscal management, improve natural resources management and raise mining and livestock productivity, and improve health service delivery and social spending efficiency.","World Bank, 2020, p. 2",FALSE,FALSE,p.2,Program Development Objective,,,,
P170934,World Bank,Burkina Faso,2020,PID,intervention,Adopt animal vaccination mechanisms to improve natural resources management and livestock productivity,Policy & Regulatory,,,small ruminants,"Under Pillar 2, the operation supports adoption of animal vaccination mechanisms to improve natural resource management and raise mining and livestock productivity, strengthening delivery of animal health services.","World Bank, 2020, p. 3",FALSE,FALSE,p.3,Pillar 2: Natural resources management and livestock productivity,,,,
P170934,World Bank,Burkina Faso,2020,PID,outcome,Increase in share of small ruminant herd vaccinated against PPR,Resilience,Resilience,Intended,small ruminants,The expected results matrix includes an increase in the share of small ruminant herd vaccinated against PPR as the key outcome under the pillar on natural resources management and livestock productivity.,"World Bank, 2020, p. 4",FALSE,FALSE,p.4,Expected Results,,,,
P173529,World Bank,Burkina Faso,2021,PID,objective,"Support government efforts to strengthen fiscal management, improve natural resources management and livestock productivity and enhance service delivery",,,,,"The Program Development Objective is to support government efforts to strengthen fiscal management, improve natural resources management and livestock productivity, and enhance service delivery and social spending efficiency.","World Bank, 2021, p. 2",FALSE,FALSE,p.2,Program Development Objective,,,,
P173529,World Bank,Burkina Faso,2021,PID,intervention,Promote animal vaccination to raise climate resilience and productivity of livestock,Policy & Regulatory,,,small ruminants,"Pillar 2 seeks to raise climate resilience and productivity of livestock through adoption of animal vaccination, reducing vulnerability to diseases.","World Bank, 2021, p. 3",FALSE,FALSE,p.3,Pillar 2 (Natural resources management and livestock productivity),,,,
P173529,World Bank,Burkina Faso,2021,PID,outcome,Increase in share of small ruminant herd vaccinated against PPR,Resilience,Resilience,Intended,small ruminants,"The expected results include a greater share of small ruminants vaccinated against PPR, reducing livestock depletion and helping households cope with shocks.","World Bank, 2021, p. 4",FALSE,FALSE,p.4,Expected Results,,,,
P166298,World Bank,Burkina Faso,2019,PID,objective,"Support government efforts to strengthen fiscal management, improve natural resources management and raise mining and livestock productivity, and improve health service delivery",,,,,"The objective of the First Development Policy Operation is to support the government’s efforts to strengthen fiscal management, improve natural resources management and raise mining and livestock productivity, and improve health service delivery.","World Bank, 2019, p. 2",FALSE,FALSE,p.2,Program Development Objective,,,,
P166298,World Bank,Burkina Faso,2019,PID,intervention,Develop mechanisms to expand animal vaccination and public veterinary health,Policy & Regulatory,,,small ruminants,"The operation aims to improve productivity in the livestock sector by supporting animal and public veterinary health, including adoption of mechanisms to develop animal vaccination.","World Bank, 2019, p. 3",FALSE,FALSE,p.3,Pillar 2 (Natural resources management and livestock productivity),,,,
P166298,World Bank,Burkina Faso,2019,PID,outcome,Increase in share of small ruminant herd vaccinated against PPR,Resilience,Resilience,Intended,small ruminants,"The expected results matrix includes an increase in the share of small ruminant herd vaccinated against PPR, leading to reduced livestock losses and helping rural households cope with shocks.","World Bank, 2019, p. 4",FALSE,FALSE,p.4,Expected Results,,,,
P165855,World Bank,Central African Republic,2019,PAD,objective,Increase agricultural productivity and agribusiness capacity with crisis response,,,,,"The project development objective (PDO) is to increase agricultural productivity of small-scale farmers, strengthen capacity of micro, small and medium-sized agribusiness enterprises in the project area, and provide immediate and effective response in the event of an Eligible Crisis or Emergency.",file:///home/oai/share/2019-04-25_PAD2887_central-african-republic-agriculture-recovery-and-agribusiness-development-support-project_english.pdf#:~:text=A,an%20Eligible%20Crisis%20or%20Emergency,FALSE,FALSE,Page 12,Datasheet,,,
P165855,World Bank,Central African Republic,2019,PAD,intervention,"Community-managed productive infrastructure including water points, small-scale irrigation, cattle dips, vaccination centers and early warning systems",Rural/Public Infrastructure,,,multiple,"The project will finance community-driven subprojects selected through participatory planning processes. Productive community infrastructure includes water points, footpaths, small-scale irrigation or drainage systems, cattle dips, vaccination centers, and community-based early warning systems and communication devices.",file:///home/oai/share/2019-04-25_PAD2887_central-african-republic-agriculture-recovery-and-agribusiness-development-support-project_english.pdf#:~:text=Sub,IDA%3A%20US%244%20million,FALSE,FALSE,Pages 14-15,Component 1; Subcomponent 1.1,,,
P165855,World Bank,Central African Republic,2019,PAD,intervention,"Provide matching grants for producer groups to rebuild animal stocks and invest in marketing, processing and conservation of animal products",Markets & Finance,,,multiple,"Producer groups with access to matching grants will be able to rebuild their animal stocks. The project will also finance the development of improved livestock husbandry training material as well as investments in upgrading animal products marketing, processing and conservation infrastructure services and equipment.",file:///home/oai/share/2019-04-25_PAD2887_central-african-republic-agriculture-recovery-and-agribusiness-development-support-project_english.pdf#:~:text=30,conservation%20infrastructure%20services%20and%20equipment,FALSE,FALSE,Page 14,Component 1; Subcomponent 1.2,,,
