Identifier,project_url,general_description,objectives,beneficiaries,status,notes,Keywords Found in general_description,Keywords Found in objectives,Keywords Found in beneficiaries,Keywords Found (Any Column)
P-TD-AB0-002,https://mapafrica.afdb.org/en/projects/46002-P-TD-AB0-002,"The Rural, Pastoral and Transhumance Infrastructure Project (PIRPT) is a reponse to increasingly bloody conflicts among users of pastoral resources because of the owing to drought and the growing pressure on land. Added to this, there is a shortage of pastoral water points in some grazing areas. The project aims to enhance the living conditions of the transhumant and sedentary population of the target area by improving access to pastoral infrastructure and resources(wells, ponds, transhumance corridors, livestock schemes), basic social services, including animal health, education for nomadic children, maternal and child health (nomadic school, clinic, storeroom, animal product processing plant, animal vaccination pen, water point). The PIRPT will target the poor rural population made up of transhumant livestock herders and sedentary agro-pastoralists, who account for almost 80% of the total population of the target area, or nearly 6.7 million inhabitants,of whom 52% women. The project will result in improved living conditions for this population through better access to pastoral facilities and resources, and to basic social services. The project will hinge on the following three components: (i) pastoral facilities and joint management of pastoral resources; (ii) strengthening the capacity of transhumant livestock stakeholders; and (iii) coordinating project management.",The project goal is to contribute to improved living conditions among the transhumant and sedentary population.,"The project will directly affect the transhumant population consisting of 387,000 inhabitants, or about 55, 400 households. It will help to improve access to animal health services, livestock watering and grazing land, nomadic children’s access to education, access to maternal and child health services, methods of conservation and processing of livestock products, particularly milk, which is a primary source of herder household income. The activities to support the direct beneficiaries of the infrastructure in terms of consultation and training will strengthen their organisational and technical capacity for proper handling of issues affecting them.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-TD-AB0-002,"['animal health', 'grazing', 'livestock', 'pastoral', 'processing', 'vaccination']",[],"['animal health', 'grazing', 'grazing land', 'livestock', 'milk', 'processing']","['animal health', 'grazing', 'grazing land', 'livestock', 'milk', 'pastoral', 'processing', 'vaccination']"
P-MA-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-MA-AA0-003,"The Inclusive and Sustainable Development Support Programme for Agricultural Sectors (PADIDFA) is intended to sustain and consolidate the achievements of Green Morocco Plan (PMV), and launch its acceleration phase (2017-2020). It is a EUR 200 million sector budget support operation in two tranches to be executed over the 2018-2019 period to help achieve the objectives of PMV. The programme helps the authorities with the formulation and implementation of inter-sector strategic reforms to strengthen the social and environmental dimensions of the PMV and promote inclusion, sustainability and competitiveness in Morocco’s agricultural sector. Its design is informed by lessons from Phases I and II of PAPMV (cf. 4.4.3), the principles of the Paris Declaration as well as good practice principles for the application of conditionality. PADIDFA supports a series of medium- and short-term strategic reforms to improve the quality of life for the people through quality jobs and self-employment in rural areas, and the protection of such jobs through sustainable natural resource management. It is an important institutional lever for creating synergies between strategies governing agriculture, the environment, water, energy and employment.","The programme objective is to help boost agricultural sector competitiveness to ensure inclusive and sustainable economic growth through the promotion of value chains, job creation, improvement of the business climate and sustainable natural resource management. Hence, PADIDFA will help to: (i) support the PMV ecosystem and amplify its impact; (ii) promote the inclusion of vulnerable stakeholders (especially the youth and women); and (iii) build agricultural sector resilience.","PADIDFA will benefit the Moroccan population in general, and the youth and women in the rural areas in particular. It will specifically benefit: (i) local councils; (ii) inter-professional associations and professional organizations; (iii) agricultural VSMEs and organizations (crop sectors, waste management, etc.); (iii) the private sector (training, research, private agricultural councils, etc.); (iv) project proponents and young agricultural and rural entrepreneurs due to improvement of the business environment; and (v) women's associations and rural women (access to value chains, land tenure security, local services, etc.).",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MA-AA0-003,[],[],['waste management'],['waste management']
P-BF-AAG-001,https://mapafrica.afdb.org/en/projects/46002-P-BF-AAG-001,"The Project to Support the Integrated Development of the Shea Sector in Burkina Faso (PADIFK) was designed to promote the implementation of Burkina Faso's strategy for the sustainable development of the shea sector. It aims to organize, structure into umbrella organizations and support the development of approximately 100 organizations along the shea value chain. The cost of financing the National Strategy for the Sustainable Development of the Shea Sector amounts to CFAF 8.94 billion. Indeed, the shea butter sector plays an important role in the country's economy. It generated more than CFAF 30 billion in export revenue in 2014. Burkina's shea kernel production potential is 850,000 tonnes per year. The shea sector is the 4th export product after gold, cotton and the livestock/meat sector. The project includes the following components: strengthening the skills and organisation of actors according to the links in the value chain and networking of these actors; improving the access of actors to credit for the collection and processing of shea kernels; improving product quality in the value chain and market access.",This project has the following main objectives: (i) improving the business climate by establishing frameworks for public-private dialogue and building the capacity of shea sector organizations; (ii) building the capacity of about 480 people operating in the shea sector and about 50 staff from various ministries and other institutions; (iii) economic empowerment of women; and (iv) job creation.,"The main direct beneficiaries of the project are the Shea Sector Table (TFK), professional organisations in the three links of the value chain (collection/production, processing, marketing and export), groups of shea kernel producers and collectors representing more than 90% of the actors in the sector, small and medium-sized processing companies (SMEs), traders and exporters in the shea sector.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AAG-001,"['livestock', 'market access', 'meat', 'processing']",[],['processing'],"['livestock', 'market access', 'meat', 'processing']"
P-DZ-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-DZ-AA0-002,"The project consists of a technical support to help and strengthen the institutional capacities of all actors involved in the implementation of the Program for the Creation of New farms and Livestock. This project will target the training and the installation of young agricultural and rural entrepreneurs (JEA & JER) in a perspective to overcome unemployment among young people, particularly young graduates.",This project aims to achieve the following main objectives: (1) the identification of training needs in connection with the program for the creation of new farms and livestock; (ii) the development of a training program and; (iii) the technical support for the implementation of the training program.,The main beneficiaries of the project are the Government of Algeria and young graduates.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-DZ-AA0-002,['livestock'],['livestock'],[],['livestock']
P-ML-AA0-019,https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-019,"This program has been designed in response to Mali’s food crisis.  It is the first phase of the Irrigation Development Program in Bani Basin and Sélingué (PDI-BS). This program covers the development and enhancement of 32 545 ha of rice land including 24,540 ha in controlled submersion, 915 ha of double-cropped rice under full water control, 6 820 ha of bourgou fields for livestock farming, 554 ha of vegetable crops and 270 ha of fish ponds. The PDI-BS will consolidate actions undertaken under the Middle Bani Plains Development Program for the development and the Maninkoura Perimeter Development Project . Its implementation should also contribute to increase the level of mobilization of Bani’s water resources by creating of a reservoir of 300 million m3.",The objective of the Bani Basin and Sélingué Irrigation Development Program(PDI-BS) - Phase I aims to  contribute to food security and poverty reduction in Mali.,"The program is expected to directly affect nearly 12,000 farms, or about 130,000 people, most of whom are women. In total, an additional annual production of 52,000 tonnes of paddy rice, 3,620 tonnes of vegetables, 588 tonnes of beef, 6 million liters of milk and 880 tonnes is expected at the end of the first phase.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-019,['livestock'],[],"['beef', 'milk']","['beef', 'livestock', 'milk']"
P-Z1-AAZ-048,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-048,"The proposed Soft Commodity Finance Facility (SCFF) of USD 20 million to Meridian group is to finance Meridian’s commodity exports such as maize, groundnuts, pigeon peas, soya, sesame and beans. Established in 1970 to assist the small scale farmer, Meridian group is one of the largest commodity aggregators in Southern Africa. The group plays a significant role in the promotion of agribusiness in five Southern Africa countries and its operations are in line with almost all of the Bank’s “high fives”. The proposed SCFF represents an opportunity to support a well-established and professionally run commodities company in Southern Africa. This will provide Meridian with affordable short/medium term financing required to unlock growth. Meridian will use the funds to purchase the soft commodities directly from small scale farmers in Malawi, Mozambique and Zimbabwe. This SCFF will not only provide inexpensive funding to Meridian but also provide FX liquidity support to the same markets. The SCFF also provides the Bank with an opportunity to indirectly intervene in two low income countries and a fragile state, Malawi, Mozambique and Zimbabwe respectively. Furthermore, it provides the Bank with an opportunity to intervene in a sector characterized by extremely low investments due to perceived risk.","The objective of this Soft Commodity Finance Facility is to provide pre & postshipment finance along various stages of Meridian’s soft commodity value chain operations in Malawi, Mozambique and Zimbabwe. Specifically, the facility will be used for the following purposes: i) Provide funding to purchase farming inputs (mainly fertilizer) to be supplied to farmers so as to ensure consistency and quality of the commodities being supplied to Meridian; ii) Purchase of soft commodities from over 10,000 farmers in Malawi, Zimbabwe and Mozambique; and iii) Upon purchase of the soft commodities, provide working capital to Meridian to enable the company engage in basic processing of the soft commodities prior to export.","The SCFF will provide broad empowerment benefits directly impacting at least 10,000 small scale farmers in the respective 3 RMCs. This expected to increase the number of small scale farmers from 10,000 farmers to 12,000 by 2019.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-048,[],['processing'],[],['processing']
P-Z1-AAG-012,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAG-012,"The project involves the grant of an Agricultural Commodities Financing Facility, up to US $ 100 million and for a period of 2 years (renewable for another 2 years), to Export Trading Company Group Mauritius . Founded in 1967, ETG has over time become a global player in the management of the supply chain and the processing of agricultural products. ETG is active in the marketing of more than 25 raw materials in 26 African countries and is currently the largest trader of sesame seeds and cashew nuts in the world, the largest fertilizer importer in Africa and one of the largest maize traders on the continent. The proposed facility represents an opportunity to support a well-established and professionally run commodities company in sub-Saharan Africa. By investing in this company, the Bank will play a countercyclical role, complementing existing public and private sector initiatives to support positive change in the sector. This facility will benefit the African subsidiaries of the Group, particularly those operating in South Africa, Benin, Burkina Faso, Burundi, Côte d'Ivoire, Ethiopia, Kenya, Malawi, Mali, Mozambique, Nigeria, Uganda, Rwanda, Tanzania, Togo, Zambia and Zimbabwe. The bulk of the facility (90%) will finance the purchase of crops from African farmers, including pulses, cashew nuts, maize, sesame seeds, oilseeds, coffee and cotton. The remaining 10% will be used to import fertilizer.",The main objective of this Soft Commodity Finance Facility (SCFF) is to support ETC Group pre and post shipment working capital requirements for its end to end agricultural value chain operations in Africa.,"The facility will not only benefit one of Africa’s oldest and largest aggregators but also allow ETC to compete on a level field with international aggregators who are able to raise inexpensive funding from international markets such as Cargill. In addition, the SCFF will provide broad empowerment benefits directly impacting at least 300,000 small scale farmers in the respective 13 RMCs.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAG-012,['processing'],[],[],['processing']
G-Z1-A00-STY-008,https://mapafrica.afdb.org/en/projects/46002-G-Z1-A00-STY-008,"To  work  with  governments  and  the  private  sector  to  create  Special  Agro-Industrial  Processing  Zones  (SAPZ)  that  can  turn  the  rural  landscape  into  economic  zones  of  prosperity  that  harness  the  power  of  commercial  agriculture  and  food production using    agricultural transformation   clusters   (ATCs),  and  agro-processing    within areas that have significant potential to boost farm productivity. The intention is  to  create  an  integrated  hub  of  commercial  activity  that  encompasses  production,  processing,  logistics, marketing  and  adequate  basic infrastructure to attract private investment.",To   conduct country diagnostics of the agriculture and food  sector  in  Kenya  and  Uganda to identify the potential and existing risks in   view   of   building   sustainable   SAPZ   and   agri-businesses   in   both   countries.,Smallholder Farmers and MSMEs in Kenya and Uganda.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-G-Z1-A00-STY-008,['processing'],[],['smallholder'],"['processing', 'smallholder']"
P-BF-AAD-003,https://mapafrica.afdb.org/en/projects/46002-P-BF-AAD-003,"The Gazetted Forests Participatory Management Project for REDD+ (PGFC/REDD+) is a continuation and consolidation of the achievement of the Bank operations completed in December in the forest sector 2010: (i) the Sustainable Forest Resources Management Project in the South-West, Centre-East and East Regions (PROGEREF) and (ii) the Burkina Faso component of the Niger River Basin Silting Control Programme (PLCE/BN). These two operations helped to develop proven expertise in the participatory management of forest resources to the satisfaction of the riparian populations. The PGFC/REDD+ is an investment project to mitigate climate change through the reduction of deforestation and forest degradation and to promote sustainable forest co-management which should lead to the reduction of greenhouse gas emissions, increased forest carbon stocks and poverty reduction (REDD+). It therefore provides the opportunity for Burkina Faso to achieve the triple win (mitigation, adaptation and poverty reduction). The project will affect directly 5 400 producers, of which 2 700 of them women, and indirectly the entire population of the 31 neighbouring municipal councils, that is 847 929 people, of which close to 52% of them women. It will be implemented over a five-year period, from 2014 to 2018 with a total cost estimated at USD 12.7 million.","The sector objective of the PGFC/REDD+ is to contribute to increasing gazetted forest carbon sequestration capacity and reducing poverty in rural areas. The main expected outcomes of the PGFC/REDD+ are (i) the development the MRV system for REDD+, (ii) the improvement of forest governance for REDD+, (iii) the securitization and management of 284 000 ha of gazetted forests and (iv) the establishment of socio-economic support infrastructure for neighbouring municipal councils.","The project’s direct beneficiaries are smallholders and vulnerable women who depend on forest products for their livelihood. The PGFC/REDD+ is a climate change adaptation and mitigation project. In fact, it will improve the populations’ resilience to climate change through the diversification of income sources. The project will lay emphasis on the development of gazetted forest wood and non-wood products. More women are involved in non-wood product exploitation in Burkina Faso, notably in almond and shea processing, beekeeping, etc. The project will build their capacity through training and the provision of processing equipment.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AAD-003,['greenhouse gas'],[],['processing'],"['greenhouse gas', 'processing']"
P-Z1-AAZ-051,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-051,"The present project is relative to the Leveraging Investments to Increase Access to Fertilizer Utilisation by Smallholder Farmers. It aims to expand the supply and distribution of fertilizer (+ 200,000 MT) by leveraging investments. Indeed, convened in Abuja in June 2006, the Abuja Declaration on Fertilizers delineated key actions and measures to be taken at the country and regional levels to rapidly increase accessibility, availability and incentives to use fertilizers by smallholder farmers in Africa. It called for the establishment of the African Fertilizer Financing Mechanism (AFFM) by the African Development Bank to principally finance the interventions. African Fertilizer and Agribusiness Partnership (AFAP) is an innovative initiative that was also established in response to the Abuja Declaration on Fertilizers. AFAP is a partnership between a number of African and international development partners with the goal of increasing private sector participation and investment (both financial and technical) in order to increase the supply of affordable fertilizer to smallholder farmers.","The project objective is to expand the supply and distribution of fertilizer (+ 200,000 MT) by leveraging investments.","The target beneficiaries are the Fertilizer Production or Blending Facilities, Joint Ventures and Hub agro-input dealer networks to serve smallholder farmers and youth and women with jobs in the agribusiness sector.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-051,['smallholder'],[],['smallholder'],['smallholder']
P-ZM-AAC-007,https://mapafrica.afdb.org/en/projects/46002-P-ZM-AAC-007,"The Feasibility studies are an integral part of the Up-scaling Smallholder Irrigation project. This project (Up-scaling Smallholder Irrigation project) is designed to prepare an irrigation investment project that would upscale the successful interventions introduced under the Small-Scale Irrigation Project. It will be implemented through three (3) components, including: (i) Component 1: Prefeasibility, Feasibility Studies and Detailed Designs; (ii) Component 2: Integrated Safeguard System Studies; and (iii) Component 3: Project Management. The component 1, which comprises the feasibility studies, will be implemented through three sub-components, and in three subsequent phases. These studies will be base on a pre-feasibility study findings. A feasibility report is expected in this study and would provide (1) a summary document, detailing all findings of the feasibility assessments; and (2) include more detailed assessments, including sub-project. The duration of the project would be 24 months from the time of project effectiveness. Its total cost is estimated at € 1,600,000, out of which the African Water Facility would finance € 1,400,000 (87.5%) (net of taxes and duties), while the Government of the Republic of Zambia would contribute € 200,000 (12.5%; in-kind and incash).",The purpose of Up-scaling Smallholder Irrigation project is the preparation of an up-scaling project for investments in climate-smart irrigated commercial agriculture in the Republic of Zambia.,"The direct beneficiaries of this project comprise various authorities of the Government of the Republic of Zambia, by providing a sound information base for making investment decisions in irrigation and water management.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZM-AAC-007,['smallholder'],['smallholder'],[],['smallholder']
P-Z1-AA0-121,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-121,"The project entitled ""Say No to famine -  Short Term Regional Emergency Response Project (STRERP)"" is a regional project for autonomous humanitarian aid and technical assistance structured as a holistic, flexible and fast emergency short term response. It responds to the humanitarian crisis caused by both drought and the conflict between Somalia and South Sudan. As a first step, the project aims to address the humanitarian emergency and food insecurity, and in a second step, to mitigate the impact of shocks on communities in the future, by enabling them to become resilient to shocks in the short term. Through this project, vulnerable communities will have immediate food, water, fodder, and health care. This momentum aims to build self-sufficiency and resilience to future shocks through extensive community consultation and management of their own activities while receiving food as a compensation. Through its interventions, STRERP will ensure sustainable improvement of food and nutrition security, livelihoods and resilience through effective risk management, protection of productive assets and governance of natural resources for agro-pastoral and peri-urban communities. The project’s total cost is estimated at UA 56,475 million. It is articulated around two components, namely: (i) nutritional and health support ; and (ii) foundations for the recovery and resilience to climate change.","The overall development goal is to reduce food insecurity, hunger and malnutrition in times of crisis and promote long-term resilience and regional integration in the Horn of Africa region. STRERP’s specific objective is to provide food aid and emergency medical assistance to the most vulnerable populations in the Horn of Africa (particularly in Southern Sudan and Somalia), while laying the groundwork to strengthen links between the production, distribution and consumption poles of the food systems in affected regions.","In Southern Sudan, the project will provide 9,369 tons of food coupons to 300,000 beneficiaries. The populations concerned are either way facing a humanitarian emergency, a crisis or food insecurity according to IPC Report released in May 2017. Target beneficiaries will also include pastoral and agro-pastoral households, considered as the ""most vulnerable"" within their community.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-121,['pastoral'],[],['pastoral'],['pastoral']
P-ML-AA0-022,https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-022,"The Project for Food Security Consolidation Through Development of Irrigation Farming (PRESA/DCI) was identified in March 2013 as one of the tools for implementing Mali's sustainable recovery plan (PRED) for 2013-2014. The PRESA-DCI is part of a continuity approach to the PDI-BS project, and also reinforces and capitalizes on the lessons of other past interventions, particularly in the field of irrigation management and valorisation of irrigated perimeters. This project will rehabilitate 4,926 ha of irrigation area in Koulikoro, Sikasso and Ségou regions, thereby improving food and nutritional security as well as the incomes of the beneficiary population. The PRESA-DCI, with emphasis on irrigation with total water control and the development of value chains of the carrier sectors, will allow an economically profitable and sustainable development of developed perimeters. Its duration is six (6) years at a total estimated cost of 39.301 MUC (29.64 billion FCFA), financed by the ADF, the Government and the beneficiaries. The implementation of the project will be largely decentralized at the level of the three development offices of Sikasso, Ségou and Koulikoro and will revolve around three main components: (i) Rehabilitation of infrastructure, (ii) Development of value chains, and (iii) Project management.","The sectoral objective of the project is to contribute to food and nutrition security in Mali. The overall objective is to contribute ultimately to alleviating poverty by boosting agricultural production and strengthening food security in the particularly vulnerable regions of Segou, Sikasso and Koulikoro. The specific objective of the project is to increase agricultural production on a sustainable basis by controlling irrigation and rationalization of land development through the promotion of value chains and small economic interest groups.","The project will directly target about 5,700 farms and benefit a total of about 85,695 farmers. It will intensify and diversify agricultural production, create jobs particularly for youths in the localities concerned, and develop all the value chains of growth-oriented sub-sectors. The project will intensify and diversify agricultural production, create jobs especially for young people in the localities concerned and will develop all the value chains of the promising sectors. Youths and women will benefit most from the created jobs, considering that service businesses will be created in farm equipment, small ruminants and fish farming, and that the processing of agricultural produce will be promoted.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-022,[],[],['processing'],['processing']
P-Z1-AAZ-012,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-012,"The project is the Djibouti Component of the first regional Drought Resilience and Sustainable Livelihoods Program (DRSLP) in the Horn of Africa (HoA). This operation seeks to improve livelihoods and resilience of the pastoral production system in Beyya Dader (Région d’Ali Sabieh), Gaggade-Derela (Région de Dikhil) and Weima (Région de Tadjourah-Obock) areas. The project interventions will support activities to rebuild existing livelihoods through investment in natural resources (water, pasture) management, integrated land management and ecosystem restoration and protection and also investment in agricultural and livestock infrastructure, while improving storage, market and transport infrastructure, such as rural roads.","The project aims at addressing the root causes of the region’s vulnerability in order to build a medium to long-term resilience against drought, enhance peace building and conflict resolution and equitable utilization of the limited natural resources. It will offer a sustainable and long term solution to the drought, floods and livelihoods issues in the HoA.","The DRSLP I will focus on about 4 million beneficiaries in Djibouti, Ethiopia and Kenya. The Intergovernmental Authority on Development (IGAD) in the Horn of Africa (HoA) will also benefit",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAZ-012,"['livestock', 'pastoral', 'pasture']",[],[],"['livestock', 'pastoral', 'pasture']"
P-GM-A00-005,https://mapafrica.afdb.org/en/projects/46002-P-GM-A00-005,"The present operation is a Project Preparative Facility (PPF), which aims to finance sector study activities that are prerequisite to the formulation of a viable and bankable Agricultural Transformation Programme (ATP) in The Gambia in line with the Feed Africa initiative. The overall strategic objective of this Agricultural Transformation Programme (ATP) is to enhance economic growth through increased contribution of the agriculture sector to the gambian economy. This Project includes the following components: (i) Preparatory studies for The Gambia Agricultural Transformation Programme; (ii) Development of a Road Map for Rice self-sufficiency based on the CIPRiSSA concept and (iii) PPF Coordination and Management.","The objective of the Agricultural Transformation Programme (ATP) is to define a sector investment plan, which supports agriculture production enhancement to achieve sustainable food security, reduce malnutrition and cereal import balance. The main objectives of this Project Preparative Facility (PPF) is to identify critical commodities value chains and suited programme target areas capable of mobilizing into action the enablers of the agricultural transformation.",The main beneficiary of this project is the Government of Gambia though its Ministry of Agriculture.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GM-A00-005,['feed'],[],[],['feed']
P-NA-AA0-010,https://mapafrica.afdb.org/en/projects/46002-P-NA-AA0-010,"The proposed special relief Grant of One Million United States Dollars (US$ 1,000,000) is the Bank’s contribution to the efforts of the Government of Namibia and other humanitarian partners to alleviate the impact of the devastating 2018/2019 drought. It will enable GRN to ddress the immediate needs of the affected population and communities. The grant relief funds provided by the Bank are restricted and earmarked for the purposes of urgent humanitarian assistance to the drought-affected populations and livestock. The Grant will be used to purchase emergency food items, agricultural inputs (certified seeds), lick supplements and fodder for livestock, facilitate water distribution using tankers/bowsers, and carry out financial audit. The implementation period for this emergency operation will remain within the Bank’s recommended physical implementation period not exceeding 6 months from 1st August 2019 to 31st January 2020.",The objective is to contribute to the on-going efforts of the Government and other humanitarian partners to alleviate the impact of the devastating 2018/2019 drought.,The immediate beneficiaries of the grant are the Government of Namibia and the drought-affected population and communities.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-NA-AA0-010,['livestock'],[],[],['livestock']
P-GM-AA0-013,https://mapafrica.afdb.org/en/projects/46002-P-GM-AA0-013,"The Gambia has a narrow economic base relying heavily on agriculture, which provides employment for about 75% of the labor force. Performance of the sector has fluctuated, contributing on average 22.3% of Gross Domestic Product (GDP) in 2012, and a growth rate of 4%. Despite its potential, agricultural production evidences low and unpredictable yields and high susceptibility to droughts and erratic climate patterns. The sector is basically rain-fed, with only 3% of the arable land estimated under irrigation. The prevalence of drought as a climatic phenomenon was very severe in 2011 to the extent that the gains in the sector were almost completely wiped-off in a single year’s drought situation. The Food and Agriculture Sector Development Project (FASDEP) seeks to reduce rural household poverty, food insecurity and malnutrition (stakeholders resilience) through increased agricultural production and productivity, and commercialization. The FASDEP will be implemented over a five-year period, and it covers three administrative regions comprising of four agricultural regions namely :(i) Central River Region-North (CRR-N) ; (ii) Central River Region-South (CRR-S) ; (iii) Lower River Region (LRR) ; and (iv) West Coast Region (WCR), where poverty and food insecurity is endemic, when compared to other regions in Gambia. The total cost of the project is USD 27.3 million consisting of USD 26.6 million from GAFSP (Global Agriculture and Food Security Programme) and USD 0.7 million from the GoTG (Governement of The Gambia).","The key outcomes will be: benefitting about 88% project beneficiaries (vulnerable women group and the youth) with reduced constraints hindering agricultural production and productivity. Through this project, natural resources will be protected on a sustainable basis; market led private sector environment to foster smallholder commercialization promoted; and improved food security and nutritional status of vulnerable groups and households guaranteed. The main outputs of the project include increased agricultural productivity and production.","The total number of beneficiaries is 240,000 in the targeted regions comprising 150,000 women and 30,000 men, and the rest being the active 60,000 youths. This also translates into a total of 30,000 beneficiary households (8.3 persons per household), representing about 42% of total households in project area and about 20% of the population involved in agriculture.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GM-AA0-013,[],['smallholder'],[],['smallholder']
P-MR-AAZ-006,https://mapafrica.afdb.org/en/projects/46002-P-MR-AAZ-006,"The present intervention is related to the Emergency Humanitarian Aid to the Flood Victims of the Wilaya of Guidimakha. It was designed following the consequences of the last episode of drought followed by floods caused by heavy rains in August 2019. This intervention is a response to the official request for emergency assistance to the victims of the recent floods and to prevent major damages in the coming months, such as the increase of diseases related to malnutrition or lack of sanitation. It is part of an integrated short- and medium-term response programme by the government and will involve other technical and financial partners (TFPs). It is within this framework that the new Government plans to put in place preventive and decentralized measures that will enable it to respond to disasters in a more reactive and rapid manner. The action of the African Development Bank will help mitigate the impact of this natural disaster and prevent major physical, psychological and socio-economic damage in the coming months linked to malnutrition and lack of sanitation. This project will provide the Food Security Commission (CSA), which is responsible for coordinating emergency aid for food security, with sufficient provisions (shelter and food kits) to enable it to cope with the current emergency situation.",The objective of the Bank's intervention is to discover the urgent and basic needs in terms of food and shelter of the disaster-affected populations in the southern and south-eastern regions of the country.,"The main beneficiaries of this intervention are the victims of floods in the Wilaya of Guidimakha. Taking into account the loss of all subsistence products, the damage caused in agricultural plots, the loss of livestock and the impact on the destruction of shops and other constructions and means of storing food products, each household in the affected areas will receive a food kit. Only 200 families have already been rescued by the Commissariat for Food Security (CSA), with a food kit and an emergency shelter kit. The CSA has a total distribution stock of 1,000 food kits and 100 emergency shelter kits. The estimated number of households in the affected areas totals 20,000.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MR-AAZ-006,[],[],['livestock'],['livestock']
P-Z1-AA0-120,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-120,"The project entitled ""Say No to famine -  Short Term Regional Emergency Response  Project (STRERP)"" is a regional project for autonomous humanitarian aid and technical assistance structured as a holistic, flexible and fast emergency short term response. It responds to the humanitarian crisis caused by both drought and the conflict between Somalia and South Sudan. As a first step, the project aims to address the humanitarian emergency and food insecurity, and in a second step, to mitigate the impact of shocks on communities in the future, by enabling them to become resilient to shocks in the short term. Through this project, vulnerable communities will have immediate food, water, fodder, and health care. This momentum aims to build self-sufficiency and resilience to future shocks through extensive community consultation and management of their own activities while receiving food as a compensation. Through its interventions, STRERP will ensure sustainable improvement of food and nutrition security, livelihoods and resilience through effective risk management, protection of productive assets and governance of natural resources for agro-pastoral and peri-urban communities. The project’s total cost is estimated at UA 56,475 million. It is articulated around two components, namely: (i) nutritional and health support ; and (ii) the foundations for the recovery and resilience to climate change.","The overall development goal is to reduce food insecurity, hunger and malnutrition in times of crisis and promote long-term resilience and regional integration in the Horn of Africa region. STRERP’s specific objective is to provide food aid and emergency medical assistance to the most vulnerable populations in the Horn of Africa (particularly in Southern Sudan and Somalia), while laying the groundwork to strengthen links between the production, distribution and consumption poles of the food systems in affected regions.","In Somalia, the project targets approximately 800,000 persons facing a crisis (IPC Phase 3) and an emergency (IPC Phase 4 ) in twelve sub-divisions in four States, namely Somaliland, Puntland, South West State and Jubaland. In South West State (SWS), Bay and Bakool regions have a  total of 218,000 persons in IPC 4, 285,000 persons IPC 3 and 265,000 in IPC 2. Bay and Bakool have the highest population in IPC 3 and 4 among all regions in Somalia. Target beneficiaries will also include pastoral and agro-pastoral households, considered as the ""most vulnerable"" within their community.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-120,['pastoral'],[],['pastoral'],['pastoral']
