Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,Keywords Found in Project Name,Keywords Found in Project Description,Keywords Found in Implementing Agency,Keywords Found (Any Column)
P144497,Eastern and Southern Africa,United Republic,,P144497 Eastern and Southern Africa United Republic of Tanzania Tanzania:,"P144497 Eastern and Southern Africa United Republic of Tanzania Tanzania: Expanding Rice ProductionTo increase the productivity and production of rice among smallholders in targeted areas of Morogoro and ZanzibarMinistry of Agriculture,Ministry of Agriculture and Natural Resources - Zanzibar TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14449 7 November 30, 2014 March 12, 2015 May 18, 2015 January 31, 2021 BANK APPROVED G 22900000United Republic of Tanzania B July 30, 2024",Ministry of Agriculture,,,,,,,,,,,[],[],[],[]
P132873,,Republic of China,,P132873 East Asia and Pacific People's Republic of China Hebei,"P132873 East Asia and Pacific People's Republic of China Hebei Rural Renewable Energy Development ProjectThe Project Development Objective (PDO) is to demonstrate sustainable biogas production and utilization to reduce environmental pollution and supply clean energy in rural areas of Hebei Province. Hebei Provincial Agriculture Department Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13287 3 August 26, 2013 March 13, 2015 June 29, 2015 December 31, 2021 BANK APPROVED O 71500000 0 0People's Republic of China B July 16, 2024",,,,,,,,,,,,[],[],[],[]
P147050,Europe and Central Asia,,,P147050 Europe and Central Asia Real Estate Management ProjectTo improve,"P147050 Europe and Central Asia Real Estate Management ProjectTo improve the efficiency, transparency, accessibility and reliability of Serbia’s real property management systems.Ministry of Construction Transport and Infrastructure, Republic Geodetic Authority TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14705 0 December 13, 2013 March 16, 2015 October 8, 2015 July 31, 2024 BANK APPROVED I 66900000 0 0Republic of Serbia B June 17, 2024",Ministry of Construction Transport and Infrastructure,,,,,,,,,,,[],['efficiency'],[],['efficiency']
P131327,Western and Central Africa,,,P131327 Western and Central Africa Western and Central Africa West,"P131327 Western and Central Africa Western and Central Africa West Africa - Mauritania Fish. APLThe Global Environmental objective of the WARFP SOP-C1 (formerly APL-C1) is the same as the PDO: to strengthen governance and management of targeted fisheries and improve handling of landed catch at selected sites.https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13132 7 February 14, 2012 March 16, 2015 April 17, 2015 February 28, 2022 BANK APPROVED O 17000000 B June 4, 2024",,,,,,,,,,,,[],[],[],[]
P126773,Western and Central Africa,Republic of Guinea,,P126773 Western and Central Africa Western and Central AfricaWest Africa,"P126773 Western and Central Africa Western and Central AfricaWest Africa Region Fisheries Program AF Guinea, Sierra Leone & LiberiaThe development objective of this first phase of the West Africa Regional Fisheries Program SOP- C (formerly APL-C) is to strengthen governance and management of targeted fisheries and improve handling of landed catch at selected sites.Ministry of Fisheries and Maritime Economy,Ministry of Fisheries, Aquaculture, and Maritime Economy (Guinea), Ministry of Fisheries and Marine Resources (Sierra Leone), Ministry of Agriculture (Liberia),Ministry of Fisheries and Maritime Economy (Mauritania),Ministry of Fisheries and Aquaculture TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P12677 3 February 14, 2012 March 16, 2015 June 24, 2015 February 28, 2022 BANK APPROVED I 0 22000000 0Republic of Liberia, Republic of Guinea,Islamic Republic of Mauritania, Republic of Sierra Leone, Ministry of Economic Affairs and Development, Ministry of Finance B June 4, 2024",Ministry of Fisheries and Maritime Economy,,,,,,,,,,,[],[],[],[]
P146665,Western and Central Africa,Africa Republic,,P146665 Western and Central Africa Republic of Benin Tenth Poverty,"P146665 Western and Central Africa Republic of Benin Tenth Poverty Reduction Support CreditPRSC-10 is the second operation in a programmatic series of three DPOS. It builds on and deepens the reforms supported under PRSC-9.Ministère de l'Économie et des Finances : Cellule de Suivi des Programmes Economiques et Financiershttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14666 5 March 17, 2015 March 17, 2015 February 29, 2016 June 30, 2016 BANK APPROVED I 0 20000000 0 March 6, 2024",,,,,,,,,,,,[],[],[],[]
P151007,Latin America and Caribbean,Caribbean Republic,,"P151007 Latin America and Caribbean Republic of ParaguayEnhancing Fiscal Management,","P151007 Latin America and Caribbean Republic of ParaguayEnhancing Fiscal Management, Social Protection and Financial InclusionThe objective is to support the Government of Paraguay to: (a) strengthen its public financial management system, (b) make the tax system more equitable, and (c) promote financial inclusion. Ministero de Haciendahttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15100 7 March 18, 2015 March 18, 2015 March 14, 2016 December 31, 2017 BANK APPROVED I 100000000 0 0Ministero de Hacienda August 16, 2023",,,,,,,,,,,,[],[],[],[]
P149605,South Asia,Republic of Bangladesh,,P149605 South Asia People's Republic of Bangladesh Nuton Jibon Livelihood,"P149605 South Asia People's Republic of Bangladesh Nuton Jibon Livelihood Improvement ProjectThe proposed Project Development Objective is to improve livelihoods of the poor and extreme poor in the project areas. Social Development Foundation TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14960 5 June 28, 2014 March 18, 2015 August 3, 2015 June 30, 2021 BANK APPROVED O 0 200000000 0Government of Bangladesh B October 11, 2022 - Specific date range: 01/01/2015-12/31/2025 - Sector: Agro-industry; FY17 - Agricultural Extension, Research, and Other Support Activities; FY17 - Agricultural markets, commercialization and agri-business; FY17 - Other Agriculture, Fishing and Forestry; FY17 - Crops; FY17 - Fisheries; FY17 - Public Administration - Agriculture, Fishing & Forestry; FY17 - Forestry; Forestry; FY17 - Livestock; Livestock 5. Dowload Project Id Region Country Project Status Project Name Project Development Objective Implementing Agency Consultan t Services RequiredProject URLDisclosure Date Board Approval DateEffective DateProject Closing DateLast Stage ReachedFinancing TypeTotal Project Cost $USIBRD Commitm ent $USIDA Commitm ent $USTotal IBRD, IDA and GRANT Commitm ent $USGrant Amount $USBorrower Lending Instrumen tEnvironme ntal Assessme nt CategoryEnvironme ntal and Social RiskSector 1 Sector 2 Sector 3 Last Update DateIs it livestock related? Does it Include Necesary Documents Summary",Implementing Agency Consultan t Services RequiredProject URLDisclosure Date Board Approval DateEffective DateProject Closing DateLast Stage ReachedFinancing TypeTotal Project Cost $USIBRD Commitm ent $USIDA Commitm ent $USTotal IBRD,,,,,,,,,,,[],['livestock'],[],['livestock']
P150177,South Asia,,,P150177 South Asia Kingdom of Bhutan Bhutan REDD ReadinessThe objective,"P150177 South Asia Kingdom of Bhutan Bhutan REDD ReadinessThe objective of the AF project is to build national capacity of the Recipient to engage in REDD+ efforts at the national as well as international levels, through strengthened policies, increased knowledge on REDD+, and enhanced data on forests and forest management. MoAF - Watershed Management Divisionhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15017 7 March 19, 2015 March 19, 2015 June 30, 2022 BANK APPROVED G 8600000Ministry of Finance B July 9, 2024",Ministry of Finance B July 9,,,,,,,,,,,[],[],[],[]
P145813,,Islamic Republic,,"P145813Middle East, North Africa, Afghanistan, and Pakistan Islamic Republic of","P145813Middle East, North Africa, Afghanistan, and Pakistan Islamic Republic of Pakistan PK Sindh Irrigated Agriculture Productivity Enhancement ProjectThe objective of the Project is to improve irrigation water management at tertiary and field level in Sindh. Agriculture Department TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14581 3 March 20, 2015 March 20, 2015 August 21, 2015 September 30, 2023 BANK APPROVED I 0 187000000 0The Islamic Republic of Pakistan B May 29, 2024",,,,,,,,,,,,[],[],[],[]
P149992,Eastern and Southern Africa,Africa Republic,,P149992 Eastern and Southern Africa Republic of Mozambique Mozambique -,"P149992 Eastern and Southern Africa Republic of Mozambique Mozambique - Artisanal Fisheries and Climate ChangeTo improve community management of selected priority fisheries. .Ministério do Mar, Águas Interiores e Pescas, Direcção de Estudos, Planificação e Infra-Estruturashttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14999 2 March 23, 2015 March 23, 2015 April 21, 2015 April 30, 2019 BANK APPROVED G 3400000Ministry of Economy and Finance B August 30, 2024",Ministry of Economy and Finance B August 30,,,,,,,,,,,[],[],[],[]
P151844,Western and Central Africa,Africa Republic,,P151844 Western and Central Africa Republic of Cote d'Ivoire Youth,"P151844 Western and Central Africa Republic of Cote d'Ivoire Youth Employment and Skills Development - Additional FinancingThe proposed Project Development Objective (PDO) is to improve access to temporary employment and skills development opportunities for young men and women in Cote d'Ivoire' s territory. TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15184 4 February 13, 2015 March 26, 2015 December 31, 2020 BANK APPROVED I 0 50000000 0 B July 17, 2024",,,,,,,,,,,,[],[],[],[]
P150194,,,,P150194 East Asia and Pacific Tuvalu Tuvalu Second Development Policy,"P150194 East Asia and Pacific Tuvalu Tuvalu Second Development Policy OperationThe proposed development policy operation will support the Government of Tuvalu's medium term reform agenda in the ares of public finance mangement, service delivery and public enterprise reforms. Ministry of Finance and Economic Developmenthttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15019 4 July 10, 2014 March 26, 2015 May 6, 2015 December 31, 2016 BANK APPROVED I 0 1500000 0Ministry of Finance and Economic Development August 20, 2020",Ministry of Finance and Economic Developmenthttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15019 4 July 10,,,,,,,,,,,[],[],[],[]
P148617,Eastern and Southern Africa,Africa Republic,,P148617 Eastern and Southern Africa Republic of MalawiAdditional Financing Strengthening,"P148617 Eastern and Southern Africa Republic of MalawiAdditional Financing Strengthening Safety Nets Systems Proj. (MASAFIV)The Project Development Objective is to improve resilience among poor households and to strengthen Malawiâ??s social safety net delivery systems and coordination across programs. TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14861 7 February 18, 2015 March 26, 2015 June 30, 2021 BANK APPROVED I 0 74986000 0 B January 17, 2024",,,,,,,,,,,,[],['resilience'],[],['resilience']
P152636,Europe and Central Asia,Asia Republic,,P152636 Europe and Central Asia Republic of Belarus Forestry Development,"P152636 Europe and Central Asia Republic of Belarus Forestry Development ProjectThe Project Development Objective is to enhance silvicultural management and reforestation and afforestation, increase the use of felling residues and improve the public good contribution from forests in targeted forest areas.https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15263 6 March 27, 2015 March 27, 2015 July 30, 2015 August 31, 2021 BANK APPROVED 2739726 B February 6, 2024",,,,,,,,,,,,[],[],[],[]
P147760,Europe and Central Asia,Asia Republic,,P147760 Europe and Central Asia Republic of Belarus Forestry Development,"P147760 Europe and Central Asia Republic of Belarus Forestry Development ProjectThe Project Development Objective is to enhance silvicultural management and reforestation and afforestation, increase the use of felling residues and improve the public good contribution from forests in targeted forest areas. BellesExport,Ministry of Forestry TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14776 0 March 26, 2014 March 27, 2015 July 30, 2015 August 31, 2021 BANK APPROVED 40714000 0 0THE REPUBLIC OF BELARUS B February 6, 2024",Ministry of Forestry TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14776 0 March 26,,,,,,,,,,,[],[],[],[]
P146930,Eastern and Southern Africa,Africa Republic,,P146930 Eastern and Southern Africa Republic of Mozambique MZ Second,"P146930 Eastern and Southern Africa Republic of Mozambique MZ Second Agriculture Development Policy Operation AgDPO-2 Agency for the Development of the Zambezi Valley Corridorhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14693 0 March 30, 2015 March 30, 2015 June 29, 2015 March 28, 2016 BANK APPROVED I 0 50000000 0 July 8, 2024",,,,,,,,,,,,[],[],[],[]
P148591,Eastern and Southern Africa,Democratic Republic,,P148591 Eastern and Southern AfricaFederal Democratic Republic of Ethiopia Second,"P148591 Eastern and Southern AfricaFederal Democratic Republic of Ethiopia Second Agricultural Growth ProjectThe Project Development Objective is to increase agricultural productivity and commercialization of small holder farmers targeted by the project. Ministry of Agriculture Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14859 1 February 9, 2015 March 31, 2015 August 31, 2015 July 7, 2024 BANK APPROVED I 0 430000000 172496992Federal Democratic Republic of Ethiopia B April 9, 2024",Ministry of Agriculture Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14859 1 February 9,,,,,,,,,,,[],[],[],[]
